Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Maximum error,Minimum error,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node,nb_node_pruned
1,Inferencing,10436.82,24.75,10606.8,0.0,0.0,12516.54,7413.05,106,53,0,17.28474998474121,1,0.0
2,Inferencing,9348.72,22.47,9367.92,0.0,0.0,10238.67,8677.23,105,52,2,47.466521978378296,7,0.0
3,Inferencing,3010.53,7.06,3012.76,0.0,25.0,3116.39,2817.15,124,33,2,133.87074971199036,7,0.0
4,Inferencing,719.03,1.65,734.2,100.0,100.0,946.37,566.46,142,8,9,582.4856998920441,24,4.0
5,Inferencing,1505.94,3.29,1719.44,75.0,100.0,2832.58,576.04,132,15,12,554.6921501159668,24,4.0
6,Inferencing,3380.76,7.80,3611.88,25.0,25.0,4579.4,1240.68,140,17,2,139.9417326450348,3,4.0
7,Inferencing,6491.64,15.64,7499.22,0.0,25.0,10801.67,2181.79,123,8,28,3363.6319556236267,72,1.0
8,Inferencing,10804.82,27.52,10817.91,0.0,0.0,11517.85,10018.77,139,2,18,1083.4116146564484,54,1.0
9,Inferencing,4006.67,10.18,4114.8,0.0,25.0,4911.34,2585.04,146,12,1,48.23161768913269,4,0.0
10,Inferencing,5049.7,12.83,5142.8,0.0,0.0,6314.4,3593.96,142,17,0,14.34583306312561,1,0.0
11,Inferencing,3688.5,9.42,3724.56,0.0,25.0,4352.25,2928.25,146,13,0,29.681721210479736,1,0.0
12,Inferencing,9271.79,26.27,9563.99,0.0,0.0,11579.82,6112.38,120,19,20,1759.9582571983337,54,7.0
13,Inferencing,5419.56,15.10,5435.68,0.0,0.0,6062.81,4973.81,145,12,2,46.849714279174805,6,1.0
14,Inferencing,5665.05,16.04,5685.67,0.0,0.0,6053.3,4844.3,142,16,1,91.57700943946838,3,1.0
15,Inferencing,4889.3,13.72,4918.65,0.0,0.0,5799.07,4412.38,152,7,0,13.585083723068237,1,0.0
16,Inferencing,1854.42,4.99,1884.27,50.0,100.0,2186.24,1316.59,138,7,14,928.9212372303009,30,7.0
17,Inferencing,475.03,1.30,585.77,100.0,100.0,829.78,109.78,152,7,0,15.509644508361816,1,0.0
18,Inferencing,3377.89,9.29,3429.5,0.0,50.0,4237.63,2727.44,136,22,1,54.75616192817688,4,0.0
19,Inferencing,4297.56,12.04,4301.29,0.0,0.0,4571.43,4069.03,113,45,1,58.342714071273804,3,1.0
20,Inferencing,3295.88,8.92,3358.77,0.0,50.0,4341.38,2613.38,152,6,1,196.869243144989,3,1.0
21,Inferencing,253.1,0.67,305.98,100.0,100.0,514.21,64.21,130,29,0,12.611869812011719,1,0.0
22,Inferencing,1395.93,3.80,1439.69,100.0,100.0,1812.63,837.29,128,20,11,1577.7765665054321,30,4.0
23,Inferencing,275.99,0.73,292.6,100.0,100.0,374.93,126.87,111,48,0,64.59784817695618,1,0.0
24,Inferencing,1354.25,3.53,1452.63,75.0,100.0,2158.25,694.25,149,10,0,11.931998252868652,1,0.0
25,Inferencing,8061.22,17.71,8263.32,0.0,0.0,9984.22,5234.22,141,18,0,14.928521156311035,1,0.0
26,Inferencing,3368.79,7.25,3830.2,50.0,50.0,5795.54,1282.76,151,4,4,521.1080286502838,6,4.0
27,Inferencing,1945.61,4.17,2052.29,50.0,100.0,2617.19,923.05,153,3,3,236.521249294281,6,4.0
28,Inferencing,2345.55,4.88,2461.34,50.0,75.0,3511.95,1615.5,133,23,3,279.4503071308136,6,4.0
29,Inferencing,745.89,1.58,908.88,100.0,100.0,1520.27,87.92,139,17,3,267.369891166687,6,4.0
30,Inferencing,2149.95,4.61,2166.27,25.0,100.0,2422.77,1711.03,152,5,2,351.0004229545593,6,1.0
31,Inferencing,3016.51,6.63,3063.57,0.0,50.0,3713.7,2321.56,150,7,2,207.07281756401062,3,4.0
32,Inferencing,781.78,1.72,848.61,100.0,100.0,1025.77,216.3,129,28,2,185.9814715385437,3,4.0
33,Inferencing,1398.6,2.99,1510.08,100.0,100.0,1824.59,419.06,142,15,2,190.03449487686157,6,1.0
34,Inferencing,4259.33,8.60,4385.23,0.0,25.0,5141.18,2588.64,137,16,6,565.2519958019257,15,4.0
35,Inferencing,5582.76,10.75,5608.57,0.0,0.0,6366.5,4955.38,153,3,3,301.5113036632538,6,4.0
36,Inferencing,3045.4,5.96,3075.94,0.0,50.0,3538.85,2518.54,138,14,7,476.22428274154663,18,4.0
37,Inferencing,5957.5,10.93,6025.96,0.0,0.0,6898.43,4505.19,135,17,7,470.5632858276367,18,4.0
38,Inferencing,3635.84,6.79,3693.07,0.0,25.0,4702.48,2955.27,137,15,7,494.3086612224579,18,4.0
39,Inferencing,1204.66,2.24,1448.61,75.0,100.0,2562.18,543.22,133,23,3,309.9359529018402,9,1.0
40,Inferencing,3836.07,7.08,3850.03,0.0,0.0,4197.93,3329.89,141,14,4,389.85146045684814,9,4.0
41,Inferencing,1083.47,2.06,1368.99,75.0,100.0,2438.61,147.47,150,7,2,143.20714354515076,3,4.0
42,Inferencing,2866.34,5.60,3487.86,50.0,50.0,5855.67,598.0,154,5,0,11.215245723724365,1,0.0
43,Inferencing,3162.77,6.27,3194.04,0.0,50.0,3833.37,2609.92,106,51,2,59.02812600135803,7,0.0
44,Inferencing,1546.04,3.02,1560.15,100.0,100.0,1867.3,1281.13,135,23,1,108.72427439689636,3,1.0
45,Inferencing,1987.84,3.84,2191.17,50.0,75.0,3093.47,950.87,136,7,16,497.80983710289,49,0.0
46,Inferencing,5641.31,11.20,5765.34,0.0,0.0,7324.65,4269.22,109,50,0,14.386401653289795,1,0.0
47,Inferencing,1452.36,2.95,1600.12,75.0,100.0,2075.04,386.39,134,25,0,12.521949291229248,1,0.0
48,Inferencing,1076.79,2.21,1202.52,100.0,100.0,1961.78,612.65,120,37,2,35.3888144493103,1,3.0
49,Inferencing,1014.51,2.05,1129.12,100.0,100.0,1403.44,174.82,124,20,15,1338.6598856449127,39,4.0
50,Inferencing,5446.9,10.86,5461.28,0.0,0.0,5852.88,4796.22,82,0,77,4018.684210062027,118,0.0
51,Inferencing,5595.63,11.31,5657.73,0.0,0.0,6870.9,4583.75,120,39,0,19.10592007637024,1,0.0
52,Inferencing,987.68,2.00,1235.62,100.0,100.0,1834.76,40.32,111,45,3,184.23142004013062,9,1.0
53,Inferencing,1250.09,2.63,1257.59,100.0,100.0,1454.52,1116.88,115,43,1,100.58751130104065,3,1.0
54,Inferencing,976.47,2.01,1251.55,75.0,100.0,2278.92,227.79,131,28,0,22.47838544845581,1,0.0
55,Inferencing,3077.96,6.16,3089.93,0.0,50.0,3484.75,2814.98,131,28,0,23.082756757736206,1,0.0
56,Inferencing,1633.28,3.30,1655.31,100.0,100.0,1937.15,1236.1,132,25,2,138.9571099281311,2,5.0
57,Inferencing,1285.26,2.66,1577.38,75.0,100.0,2329.89,40.07,129,25,5,444.3997769355774,11,5.0
58,Inferencing,2021.68,4.32,2050.9,25.0,100.0,2397.04,1464.92,128,26,5,411.0570638179779,11,5.0
59,Inferencing,1456.22,3.12,1486.06,100.0,100.0,1653.12,944.08,135,22,2,432.96219778060913,1,6.0
60,Inferencing,1787.85,3.82,1858.96,75.0,100.0,2555.79,1198.34,104,53,2,56.198845624923706,1,6.0
61,Inferencing,719.63,1.54,744.24,100.0,100.0,882.82,396.17,138,20,1,62.435317277908325,3,1.0
62,Inferencing,1136.67,2.40,1441.52,75.0,100.0,2281.91,161.13,144,15,0,15.135730504989624,1,0.0
63,Inferencing,1736.39,3.68,1741.01,100.0,100.0,1889.03,1608.53,127,28,4,138.85138988494873,12,1.0
64,Inferencing,2177.61,4.61,2179.79,0.0,100.0,2286.33,2056.27,151,3,5,150.86837887763977,12,4.0
65,Inferencing,4861.36,9.93,8450.51,75.0,75.0,16825.82,593.57,76,1,82,3492.010721683502,112,0.0
66,Inferencing,254.25,0.52,346.55,100.0,100.0,648.06,25.94,156,1,2,62.83352732658386,3,4.0
67,Inferencing,3388.34,7.40,3411.34,0.0,25.0,3802.34,2828.34,156,2,1,35.96468448638916,1,3.0
68,Inferencing,4389.69,10.27,4772.81,0.0,25.0,7429.75,2693.98,83,1,75,3324.77437543869,109,0.0
69,Inferencing,8752.66,21.96,8867.49,0.0,0.0,10607.41,6855.41,156,0,3,322.6415944099426,6,4.0
70,Inferencing,6479.12,15.12,6502.77,0.0,0.0,7356.12,5842.12,113,44,2,63.36562943458557,6,1.0
71,Inferencing,4064.97,9.11,4207.11,0.0,25.0,5014.97,2304.97,145,12,2,94.88275170326233,3,4.0
72,Inferencing,2752.3,5.57,4181.81,75.0,75.0,8113.76,274.56,143,14,2,93.18696284294128,3,4.0
73,Inferencing,3683.68,7.10,3696.53,0.0,0.0,4171.84,3323.76,133,20,6,147.67818665504456,15,4.0
74,Inferencing,3914.27,7.60,3970.9,0.0,25.0,4582.52,2801.05,126,26,7,182.48395919799805,15,7.0
75,Inferencing,2981.71,5.75,3022.24,0.0,50.0,3587.39,2351.94,149,7,3,298.30840134620667,9,1.0
76,Inferencing,1448.61,2.80,1452.66,100.0,100.0,1584.82,1340.94,149,7,3,284.1143162250519,9,1.0
77,Inferencing,2100.0,3.91,2428.37,50.0,75.0,3796.49,478.18,152,4,3,270.0060875415802,9,1.0
78,Inferencing,3376.31,5.84,3415.32,0.0,25.0,4083.92,2669.24,141,15,3,66.5875015258789,3,7.0
79,Inferencing,173.04,0.30,173.04,100.0,100.0,173.04,173.04,150,6,3,137.87567925453186,3,7.0
