Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Maximum error,Minimum error,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node,nb_node_pruned
1,Inferencing,10436.82,24.75,10606.8,0.0,0.0,12516.54,7413.05,106,53,0,14.707404851913452,1,0.0
2,Inferencing,9348.72,22.47,9367.92,0.0,0.0,10238.67,8677.23,105,52,2,38.19428491592407,7,0.0
3,Inferencing,5686.72,13.33,5727.33,0.0,0.0,6659.2,4751.46,122,35,2,115.99210405349731,7,0.0
4,Inferencing,1488.5,3.41,1566.91,75.0,100.0,2268.13,914.95,136,15,8,346.6126730442047,9,16.0
5,Inferencing,1158.01,2.53,1591.58,75.0,100.0,2904.61,61.28,130,11,18,808.9537613391876,48,4.0
6,Inferencing,4187.74,9.65,4350.1,0.0,0.0,5593.69,3007.84,130,14,15,449.7256314754486,46,0.0
7,Inferencing,6737.06,16.23,7799.72,25.0,25.0,10696.68,1606.11,114,10,35,2619.4739151000977,102,4.0
8,Inferencing,7599.95,19.39,8156.46,0.0,0.0,11519.67,3201.87,141,7,11,520.4767484664917,33,1.0
9,Inferencing,3707.25,9.42,3800.16,0.0,25.0,4511.77,2428.93,146,12,1,41.46576690673828,2,2.0
10,Inferencing,5049.7,12.83,5142.8,0.0,0.0,6314.4,3593.96,142,17,0,11.861704349517822,1,0.0
11,Inferencing,3688.5,9.42,3724.56,0.0,25.0,4352.25,2928.25,146,13,0,25.525054454803467,1,0.0
12,Inferencing,8213.69,23.15,8361.4,0.0,0.0,10623.32,6669.0,124,12,23,1357.8354828357697,63,4.0
13,Inferencing,5415.64,15.09,5431.77,0.0,0.0,6058.89,4969.89,145,12,2,38.23665142059326,6,1.0
14,Inferencing,5664.54,16.04,5685.15,0.0,0.0,6052.79,4843.79,142,16,1,81.50385117530823,3,1.0
15,Inferencing,4889.3,13.72,4918.65,0.0,0.0,5799.07,4412.38,152,7,0,12.338640213012695,1,0.0
16,Inferencing,2801.15,7.56,3435.94,50.0,50.0,4765.89,225.35,137,5,17,1926.4072642326355,48,1.0
17,Inferencing,475.03,1.30,585.77,100.0,100.0,829.78,109.78,152,7,0,14.378045558929443,1,0.0
18,Inferencing,3377.89,9.29,3429.5,0.0,50.0,4237.63,2727.44,136,22,1,51.82865023612976,4,0.0
19,Inferencing,4273.51,11.98,4278.88,0.0,0.0,4592.3,3989.44,113,45,1,54.703410387039185,3,1.0
20,Inferencing,3293.39,8.91,3356.33,0.0,50.0,4338.89,2610.89,151,7,1,182.1969439983368,3,1.0
21,Inferencing,253.1,0.67,305.98,100.0,100.0,514.21,64.21,130,29,0,12.311498403549194,1,0.0
22,Inferencing,1201.79,3.27,1240.83,100.0,100.0,1575.86,716.71,123,22,14,1702.8594448566437,42,1.0
23,Inferencing,275.99,0.73,292.6,100.0,100.0,374.93,126.87,111,48,0,63.243374824523926,1,0.0
24,Inferencing,1354.25,3.53,1452.63,75.0,100.0,2158.25,694.25,149,10,0,12.007213115692139,1,0.0
25,Inferencing,8061.22,17.71,8263.32,0.0,0.0,9984.22,5234.22,141,18,0,15.529619455337524,1,0.0
26,Inferencing,3482.21,7.50,3885.33,25.0,50.0,5792.96,1530.36,150,3,6,542.620447397232,15,1.0
27,Inferencing,3923.77,8.43,3974.96,0.0,25.0,4670.62,2952.14,117,3,39,2411.460093975067,56,14.0
28,Inferencing,2372.71,4.93,2531.76,50.0,75.0,3620.32,1511.78,148,4,7,911.8133454322815,15,4.0
29,Inferencing,2037.53,4.31,2114.17,75.0,100.0,2925.07,1359.44,149,6,4,275.33002281188965,6,4.0
30,Inferencing,2456.9,5.26,2492.45,25.0,75.0,3048.33,1936.04,149,5,5,552.1823356151581,9,4.0
31,Inferencing,3098.33,6.81,3155.95,0.0,50.0,3743.68,2288.2,153,4,2,53.503626108169556,1,6.0
32,Inferencing,744.88,1.64,831.4,100.0,100.0,1006.56,109.84,139,18,2,184.1241455078125,3,4.0
33,Inferencing,1577.4,3.37,1690.27,75.0,100.0,2043.52,533.0,143,14,2,220.27443838119507,6,1.0
34,Inferencing,3591.85,7.23,3814.01,25.0,25.0,4740.55,1536.0,145,13,1,26.887747764587402,1,3.0
35,Inferencing,5057.4,9.74,5078.27,0.0,0.0,5624.15,4485.73,150,7,2,233.66174721717834,3,4.0
36,Inferencing,1249.32,2.45,1386.66,75.0,100.0,2200.88,536.47,150,8,1,30.159695863723755,1,3.0
37,Inferencing,3455.73,6.33,3588.06,25.0,25.0,4464.98,1862.41,150,8,1,29.759931802749634,1,3.0
38,Inferencing,3492.85,6.52,3566.95,0.0,25.0,4713.56,2820.66,140,11,8,312.8447036743164,18,4.0
39,Inferencing,2824.54,5.27,3057.58,50.0,50.0,4584.95,1699.84,136,17,6,323.9835350513458,18,1.0
40,Inferencing,5356.9,9.89,5372.9,0.0,0.0,5824.86,4689.01,137,8,14,575.1404545307159,39,4.0
41,Inferencing,1182.86,2.25,1551.49,75.0,100.0,2607.9,47.94,140,17,2,164.6402575969696,3,4.0
42,Inferencing,2866.34,5.60,3487.86,50.0,50.0,5855.67,598.0,154,5,0,10.367440462112427,1,0.0
43,Inferencing,3169.57,6.28,3200.9,0.0,50.0,3839.5,2610.89,106,51,2,55.72811484336853,7,0.0
44,Inferencing,596.46,1.16,628.02,100.0,100.0,884.7,329.5,135,23,1,108.75206565856934,3,1.0
45,Inferencing,1941.68,3.75,2085.86,25.0,100.0,2852.92,739.93,151,6,2,199.7967290878296,6,1.0
46,Inferencing,5641.31,11.20,5765.34,0.0,0.0,7324.65,4269.22,109,50,0,15.87309718132019,1,0.0
47,Inferencing,1452.36,2.95,1600.12,75.0,100.0,2075.04,386.39,134,25,0,12.753019571304321,1,0.0
48,Inferencing,600.33,1.24,633.75,100.0,100.0,920.05,355.76,126,8,25,2001.341701745987,60,1.0
49,Inferencing,1228.81,2.46,1393.67,75.0,100.0,2080.83,456.88,123,14,22,2591.341242790222,60,4.0
50,Inferencing,2410.51,4.80,2452.42,25.0,100.0,2844.59,1662.48,109,4,46,6076.155563116074,120,4.0
51,Inferencing,5595.63,11.31,5657.73,0.0,0.0,6870.9,4583.75,120,39,0,17.64500141143799,1,0.0
52,Inferencing,2986.08,6.06,3336.47,25.0,50.0,4929.69,795.88,103,44,12,365.1501612663269,37,0.0
53,Inferencing,1252.71,2.64,1259.83,100.0,100.0,1431.63,1078.3,115,43,1,99.98069596290588,3,1.0
54,Inferencing,976.47,2.01,1251.55,75.0,100.0,2278.92,227.79,131,28,0,21.846326112747192,1,0.0
55,Inferencing,3077.96,6.16,3089.93,0.0,50.0,3484.75,2814.98,131,28,0,22.449037551879883,1,0.0
56,Inferencing,560.78,1.13,567.69,100.0,100.0,661.98,463.22,118,35,6,393.72217321395874,18,1.0
57,Inferencing,1271.76,2.64,1372.89,100.0,100.0,1859.61,542.57,123,18,18,945.5698485374451,51,4.0
58,Inferencing,2494.97,5.34,2520.85,0.0,75.0,3018.14,2000.7,126,18,15,647.5444898605347,42,4.0
59,Inferencing,417.01,0.90,509.97,100.0,100.0,810.7,60.03,124,33,2,588.739399433136,6,1.0
60,Inferencing,296.43,0.63,333.84,100.0,100.0,531.02,111.19,100,57,2,170.32370042800903,6,1.0
61,Inferencing,2662.03,5.71,2662.86,0.0,100.0,2772.26,2601.32,138,19,2,65.66445446014404,6,1.0
62,Inferencing,1136.67,2.40,1441.52,75.0,100.0,2281.91,161.13,144,15,0,14.556377172470093,1,0.0
63,Inferencing,1886.35,4.00,1918.06,50.0,100.0,2350.14,1451.99,125,32,2,101.42120695114136,6,1.0
64,Inferencing,1451.81,3.08,1455.08,100.0,100.0,1560.5,1330.6,151,4,4,118.00524997711182,12,1.0
65,Inferencing,799.36,1.64,845.24,100.0,100.0,1169.3,401.52,76,1,82,9912.40100479126,245,2.0
66,Inferencing,421.83,0.87,526.38,100.0,100.0,925.08,84.08,156,1,2,62.139650106430054,1,6.0
67,Inferencing,3391.28,7.41,3414.26,0.0,25.0,3805.28,2831.28,156,2,1,36.563640832901,1,3.0
68,Inferencing,6903.72,16.04,7153.2,0.0,0.0,9942.22,5200.22,151,6,2,52.263604402542114,1,6.0
69,Inferencing,8423.33,21.14,8542.59,0.0,0.0,10278.08,6526.08,155,1,3,323.60079526901245,9,1.0
70,Inferencing,6476.34,15.12,6500.0,0.0,0.0,7353.34,5839.34,113,45,1,56.09365272521973,3,1.0
71,Inferencing,4212.77,9.44,4350.08,0.0,25.0,5162.77,2452.77,145,12,2,90.03243207931519,3,4.0
72,Inferencing,5377.95,11.08,5446.09,0.0,0.0,6699.89,4454.5,143,14,2,91.76094484329224,3,4.0
73,Inferencing,2927.32,5.64,2941.33,0.0,50.0,3271.8,2478.14,134,18,7,167.6360206604004,18,4.0
74,Inferencing,2278.39,4.42,2387.3,25.0,100.0,2915.96,1071.39,127,30,2,93.98718118667603,3,4.0
75,Inferencing,1891.32,3.64,1984.45,50.0,100.0,2653.22,1156.76,151,6,2,280.7559988498688,6,1.0
76,Inferencing,130.24,0.25,146.35,100.0,100.0,209.54,40.13,151,6,2,269.26207208633423,6,1.0
77,Inferencing,818.08,1.53,902.7,100.0,100.0,1400.36,348.41,152,6,1,250.75826001167297,3,1.0
78,Inferencing,3564.01,6.16,3606.06,0.0,25.0,4327.91,2789.63,143,13,3,66.02945470809937,3,7.0
79,Inferencing,1911.07,3.28,1911.07,100.0,100.0,1911.07,1911.07,152,4,3,132.55729031562805,3,7.0
