Date,Actual,Forecasted_price
2015-01-05,45679.0,53092.05
2015-01-12,42767.0,53231.84
2015-01-19,41756.0,53108.83
2015-01-26,40240.0,52756.54
2015-02-02,41199.0,51437.67
2015-02-09,41263.0,50210.06
2015-02-16,41863.0,50540.23
2015-02-23,42162.5,51694.4
2015-03-02,42585.0,47336.46
2015-03-09,42293.0,48089.34
2015-03-16,42275.0,48934.2
2015-03-23,43572.0,49111.89
2015-03-30,43575.0,42200.3
2015-04-06,43593.0,42678.05
2015-04-13,43589.0,42192.77
2015-04-20,43714.0,41445.87
2015-04-27,44420.0,44358.72
2015-05-04,45950.0,46393.25
2015-05-11,45979.0,48883.61
2015-05-18,45579.0,44356.09
2015-05-25,44620.0,47657.75
2015-06-01,43740.0,46747.84
2015-06-08,43480.0,49073.69
2015-06-15,42456.0,47567.66
2015-06-22,42386.0,46618.43
2015-06-29,42739.0,44345.11
2015-07-06,41353.0,51766.0
2015-07-13,41129.0,51825.68
2015-07-20,40055.0,47538.72
2015-07-27,39308.0,47502.53
2015-08-03,38590.0,50109.67
2015-08-10,39225.0,42426.87
2015-08-17,39051.0,43562.77
2015-08-24,39134.0,43523.36
2015-08-31,39329.0,42827.93
2015-09-07,40399.0,42827.93
2015-09-14,40934.0,44527.96
2015-09-21,39478.0,44794.84
2015-09-28,38496.5,44810.9
2015-10-05,39264.0,44237.59
2015-10-12,39996.0,42924.25
2015-10-19,39339.0,42924.25
2015-10-26,39036.0,42924.25
2015-11-02,38572.0,42924.25
2015-11-09,37450.0,44448.12
2015-11-16,35234.0,45857.32
2015-11-23,34435.0,41104.0
2015-11-30,35126.0,43690.31
2015-12-07,35274.0,41332.89
2015-12-14,35832.0,41332.89
2015-12-21,36200.0,41332.89
2015-12-28,36363.0,41332.89
2016-01-04,36178.0,41021.79
2016-01-11,35046.0,41021.79
2016-01-18,34969.0,41021.79
2016-01-25,35236.0,41021.79
2016-02-01,35518.0,40154.88
2016-02-08,35742.5,40154.88
2016-02-15,35446.0,40154.88
2016-02-22,35813.0,41612.07
2016-02-29,36251.0,40963.18
2016-03-07,37161.0,38662.16
2016-03-14,37478.0,37703.35
2016-03-21,37766.0,42531.89
2016-03-28,37260.0,37369.78
2016-04-04,36565.0,37369.78
2016-04-11,36540.0,37369.78
2016-04-18,37214.0,37369.78
2016-04-25,37524.0,40464.71
2016-05-02,37052.0,39779.44
2016-05-09,35812.0,40049.63
2016-05-16,35558.0,39163.77
2016-05-23,35574.0,39563.44
2016-05-30,35658.0,39894.56
2016-06-06,35874.0,40149.72
2016-06-13,35618.0,40210.3
2016-06-20,36064.0,40402.89
2016-06-27,37134.0,40402.89
2016-07-04,37448.0,40402.89
2016-07-11,37792.0,40402.89
2016-07-18,38274.0,37980.21
2016-07-25,37916.0,37980.21
2016-08-01,37840.0,37980.21
2016-08-08,37466.0,37980.21
2016-08-15,37208.0,37924.71
2016-08-22,36752.0,38011.98
2016-08-29,36500.0,38075.86
2016-09-05,36748.0,38002.62
2016-09-12,36812.0,36685.13
2016-09-19,37488.0,37836.48
2016-09-26,37834.0,37580.34
2016-10-03,37820.0,38194.93
2016-10-10,37964.0,36759.75
2016-10-17,37454.0,36759.75
2016-10-24,38120.0,36759.75
2016-10-31,38918.0,36759.75
2016-11-07,42342.0,37107.78
2016-11-14,44880.0,37107.78
2016-11-21,46362.0,37107.78
2016-11-28,47092.0,37107.78
