Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Maximum error,Minimum error,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node,nb_node_pruned
1,Training,1022.32,1.93,1403.94,86.16,94.34,5105.99,13.66,156,2,1,97.41943359375,4,0
2,Training,1012.69,1.94,1411.37,86.79,93.08,5106.18,0.01,156,0,3,29.698684692382812,7,0
3,Training,1762.83,3.38,2174.1,64.78,83.65,5105.02,57.35,157,0,2,40.9693808555603,9,1
4,Training,1668.92,3.23,2063.2,69.18,85.53,5102.05,11.47,159,0,0,47.69684410095215,9,0
5,Training,1724.65,3.36,2104.43,66.67,85.53,5102.05,11.47,159,0,0,45.277353286743164,9,0
6,Training,1809.52,3.56,2215.32,64.78,83.02,5102.05,11.47,159,0,0,46.44546294212341,9,0
7,Training,1624.94,3.24,2043.07,70.44,87.42,5075.27,4.65,157,1,1,54.78650903701782,12,0
8,Training,1604.12,3.21,2030.01,71.7,87.42,5075.27,4.65,159,0,0,61.86605739593506,12,0
9,Training,1637.84,3.30,2047.81,71.07,87.42,5075.27,4.65,159,0,0,61.418447971343994,12,0
10,Training,1667.26,3.38,2062.24,71.07,87.42,5075.27,4.65,159,0,0,59.10136079788208,12,0
11,Training,1629.63,3.35,2009.88,71.7,88.68,5053.22,4.65,159,0,0,61.61683678627014,12,0
12,Training,1303.72,2.75,1701.57,82.39,93.71,5053.79,4.33,159,0,0,65.02459216117859,12,0
13,Training,1107.45,2.36,1457.62,84.28,95.6,4242.74,0.3,156,0,3,85.5087354183197,21,0
14,Training,1139.56,2.47,1535.54,83.65,94.34,4771.0,0.0,157,0,2,118.19488096237183,27,0
15,Training,1144.21,2.51,1573.31,83.02,93.71,4793.0,0.0,156,0,3,157.86457777023315,36,0
16,Training,1178.9,2.66,1629.35,82.39,91.82,4932.88,0.23,158,0,1,184.00986504554749,39,0
17,Training,1209.74,2.77,1658.86,81.13,91.19,4827.59,11.58,159,0,0,193.8712568283081,39,0
18,Training,1266.21,2.94,1723.41,79.25,89.94,4827.59,11.58,159,0,0,194.43585586547852,39,0
