Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Maximum error,Minimum error,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Inferencing,5659.87,13.52,5997.52,0.0,25.0,8048.02,2618.62,159,0,0,44.43745398521423,1
2,Inferencing,3895.69,9.39,4136.6,0.0,25.0,5870.95,2236.16,159,0,0,1.3556849956512451,1
3,Inferencing,1450.69,3.41,1528.14,100.0,100.0,1899.95,694.44,159,0,0,1.3996241092681885,1
4,Inferencing,383.91,0.88,472.53,100.0,100.0,712.05,30.47,159,0,0,1.3807508945465088,1
5,Inferencing,1141.33,2.50,1241.98,100.0,100.0,1585.13,351.79,159,0,0,1.401379108428955,1
6,Inferencing,444.89,1.02,466.21,100.0,100.0,631.98,240.21,159,0,0,1.3804950714111328,1
7,Inferencing,1411.55,3.36,1446.79,100.0,100.0,1781.19,940.93,159,0,0,1.4003534317016602,1
8,Inferencing,3695.31,9.42,3726.05,0.0,0.0,4445.53,3116.38,159,0,0,1.3759427070617676,1
9,Inferencing,2961.52,7.52,3006.81,0.0,50.0,3452.73,2213.92,159,0,0,1.3749659061431885,1
10,Inferencing,3096.1,7.89,3276.09,25.0,25.0,3970.75,1325.12,159,0,0,1.3778936862945557,1
11,Inferencing,1083.31,2.77,1158.12,100.0,100.0,1739.04,658.4,159,0,0,1.4120872020721436,1
12,Inferencing,4841.91,13.70,4921.66,0.0,0.0,5905.6,3596.23,159,0,0,1.3928802013397217,1
13,Inferencing,2354.96,6.58,2451.06,50.0,75.0,3501.39,1772.07,159,0,0,1.382387399673462,1
14,Inferencing,2141.7,6.08,2205.14,50.0,100.0,2724.86,1364.63,159,0,0,1.3797507286071777,1
15,Inferencing,489.58,1.38,518.37,100.0,100.0,695.27,233.46,159,0,0,1.3639285564422607,1
16,Inferencing,2027.77,5.43,2121.88,25.0,100.0,2664.42,1010.82,159,0,0,1.383044958114624,1
17,Inferencing,792.02,2.14,863.01,100.0,100.0,1157.27,437.27,159,0,0,1.3642654418945312,1
18,Inferencing,801.5,2.19,827.9,100.0,100.0,1121.78,590.22,159,0,0,1.3933520317077637,1
19,Inferencing,955.45,2.68,999.23,100.0,100.0,1455.03,729.15,159,0,0,1.4548399448394775,1
20,Inferencing,968.21,2.59,1101.02,100.0,100.0,1573.41,154.59,159,0,0,1.3808424472808838,1
21,Inferencing,1556.07,4.10,1582.31,100.0,100.0,1956.07,1148.07,159,0,0,1.388646125793457,1
22,Inferencing,325.41,0.88,413.83,100.0,100.0,731.41,23.41,159,0,0,1.353822946548462,1
23,Inferencing,985.54,2.62,1069.12,100.0,100.0,1331.04,309.04,159,0,0,1.3857977390289307,1
24,Inferencing,1520.46,3.97,1608.71,75.0,100.0,2324.46,860.46,159,0,0,1.3685879707336426,1
25,Inferencing,8470.74,18.62,8663.29,0.0,0.0,10393.74,5643.74,159,0,0,1.367607593536377,1
26,Inferencing,4731.0,10.27,4798.2,0.0,0.0,5627.29,3919.7,157,1,1,23.963430881500244,4
27,Inferencing,1943.33,4.17,2031.1,25.0,100.0,2415.16,938.2,159,0,0,1.339958667755127,4
28,Inferencing,850.04,1.76,1071.11,100.0,100.0,1919.71,283.81,159,0,0,0.9146413803100586,4
29,Inferencing,295.97,0.63,344.08,100.0,100.0,547.66,101.73,159,0,0,0.7879385948181152,4
30,Inferencing,928.9,2.00,1015.78,100.0,100.0,1296.27,264.23,159,0,0,0.7758042812347412,4
31,Inferencing,2026.4,4.46,2101.76,50.0,100.0,2695.96,1368.64,159,0,0,0.7023165225982666,4
32,Inferencing,1067.54,2.34,1086.31,100.0,100.0,1382.04,841.64,159,0,0,0.7126631736755371,4
33,Inferencing,615.37,1.32,644.6,100.0,100.0,789.77,296.74,159,0,0,0.6895828247070312,4
34,Inferencing,4240.63,8.55,4456.43,0.0,25.0,5411.01,2029.94,159,0,0,0.6659154891967773,4
