Date,Actual,Forecasted_price
2015-01-05,45679.0,46587.14
2015-01-12,42767.0,46595.05
2015-01-19,41756.0,46889.77
2015-01-26,40240.0,46918.98
2015-02-02,41199.0,46994.91
2015-02-09,41263.0,45571.01
2015-02-16,41863.0,44695.83
2015-02-23,42162.5,44435.55
2015-03-02,42585.0,40965.12
2015-03-09,42293.0,40965.12
2015-03-16,42275.0,40965.12
2015-03-23,43572.0,40965.12
2015-03-30,43575.0,40966.43
2015-04-06,43593.0,40966.43
2015-04-13,43589.0,40966.43
2015-04-20,43714.0,40966.43
2015-04-27,44420.0,40966.43
2015-05-04,45950.0,40966.43
2015-05-11,45979.0,40966.43
2015-05-18,45579.0,40966.43
2015-05-25,44620.0,40966.43
2015-06-01,43740.0,40966.43
2015-06-08,43480.0,40966.43
2015-06-15,42456.0,40966.43
2015-06-22,42386.0,40966.96
2015-06-29,42739.0,40966.96
2015-07-06,41353.0,40966.96
2015-07-13,41129.0,40966.96
2015-07-20,40055.0,40966.96
2015-07-27,39308.0,40966.96
2015-08-03,38590.0,40966.96
2015-08-10,39225.0,40966.96
2015-08-17,39051.0,40966.96
2015-08-24,39134.0,40966.96
2015-08-31,39329.0,40966.96
2015-09-07,40399.0,40966.96
2015-09-14,40934.0,40966.96
2015-09-21,39478.0,40966.96
2015-09-28,38496.5,40966.96
2015-10-05,39264.0,40966.96
2015-10-12,39996.0,40966.96
2015-10-19,39339.0,40966.96
2015-10-26,39036.0,40966.96
2015-11-02,38572.0,40966.96
2015-11-09,37450.0,40969.89
2015-11-16,35234.0,40969.89
2015-11-23,34435.0,40969.89
2015-11-30,35126.0,40969.89
2015-12-07,35274.0,40971.0
2015-12-14,35832.0,40971.0
2015-12-21,36200.0,40971.0
2015-12-28,36363.0,40971.0
2016-01-04,36178.0,40971.0
2016-01-11,35046.0,40971.0
2016-01-18,34969.0,40971.0
2016-01-25,35236.0,40971.0
2016-02-01,35518.0,40971.0
2016-02-08,35742.5,40971.0
2016-02-15,35446.0,40971.0
2016-02-22,35813.0,39974.8
2016-02-29,36251.0,35145.96
2016-03-07,37161.0,40798.28
2016-03-14,37478.0,40646.16
2016-03-21,37766.0,40650.73
2016-03-28,37260.0,40523.34
2016-04-04,36565.0,40547.3
2016-04-11,36540.0,39359.73
2016-04-18,37214.0,35529.61
2016-04-25,37524.0,38541.28
2016-05-02,37052.0,37803.07
2016-05-09,35812.0,37252.62
2016-05-16,35558.0,35759.45
2016-05-23,35574.0,35336.34
2016-05-30,35658.0,37959.22
2016-06-06,35874.0,39744.56
2016-06-13,35618.0,39895.71
2016-06-20,36064.0,37917.84
2016-06-27,37134.0,34284.05
2016-07-04,37448.0,34863.72
2016-07-11,37792.0,35906.95
2016-07-18,38274.0,34924.87
2016-07-25,37916.0,36975.11
2016-08-01,37840.0,37957.96
2016-08-08,37466.0,39160.13
2016-08-15,37208.0,40077.14
2016-08-22,36752.0,40236.09
2016-08-29,36500.0,40338.93
2016-09-05,36748.0,40322.57
2016-09-12,36812.0,40112.2
2016-09-19,37488.0,40184.66
2016-09-26,37834.0,40223.61
2016-10-03,37820.0,40237.64
2016-10-10,37964.0,39414.11
2016-10-17,37454.0,39280.89
2016-10-24,38120.0,39329.19
2016-10-31,38918.0,39153.11
2016-11-07,42342.0,39048.71
2016-11-14,44880.0,39197.52
2016-11-21,46362.0,39135.2
2016-11-28,47092.0,39091.56
2016-12-05,47162.0,39092.34
2016-12-12,46768.0,39474.1
2016-12-19,45008.0,39742.9
2016-12-26,44638.0,39872.23
2017-01-02,45320.0,40400.47
2017-01-09,46388.0,37165.59
2017-01-16,46780.0,38052.22
2017-01-23,47208.33,39135.19
2017-01-30,46986.67,40339.7
2017-02-06,46880.0,40218.16
2017-02-13,48976.0,40183.88
2017-02-20,48254.0,43479.53
2017-02-27,47840.0,35626.06
2017-03-06,47010.0,36129.37
2017-03-13,47188.0,38564.88
2017-03-20,46900.0,40152.71
2017-03-27,46826.0,46725.32
2017-04-03,47356.0,43308.12
2017-04-10,46430.0,45905.69
2017-04-17,46024.0,47160.06
2017-04-24,46094.0,36780.71
2017-05-01,46159.0,36659.17
2017-05-08,44956.0,36735.52
2017-05-15,45146.0,37040.93
2017-05-22,45808.0,36744.88
2017-05-29,45478.0,48018.65
2017-06-05,45238.0,40980.14
2017-06-12,45760.0,40997.28
2017-06-19,45624.0,47847.25
2017-06-26,46712.0,40871.06
2017-07-03,46960.0,41033.12
2017-07-10,46900.0,47417.18
2017-07-17,47558.0,41140.64
2017-07-24,49028.0,41120.38
2017-07-31,50188.0,41082.98
2017-08-07,50360.0,42299.96
2017-08-14,50354.0,36696.57
2017-08-21,51438.0,43442.14
2017-08-28,52592.0,42884.29
2017-09-04,53060.0,45601.84
2017-09-11,51014.0,45782.6
2017-09-18,50476.0,46293.7
2017-09-25,50758.0,46356.02
2017-10-02,51990.0,46455.75
