Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Maximum error,Minimum error,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node,nb_node_pruned
1,Inferencing,4954.36,11.87,5339.28,25.0,25.0,7348.93,1904.01,158,0,1,78.59899663925171,2,2
2,Inferencing,3317.71,8.00,3578.37,25.0,50.0,5200.05,1693.31,157,0,2,104.6189079284668,2,5
3,Inferencing,1333.82,3.09,1855.88,75.0,75.0,3558.74,391.51,155,2,2,140.9314124584198,4,3
4,Inferencing,767.36,1.76,876.71,100.0,100.0,1288.44,107.25,134,2,23,1152.025928735733,63,4
5,Inferencing,7516.61,16.50,7924.76,0.0,0.0,10658.73,4534.21,150,0,9,358.19092869758606,28,0
6,Inferencing,3739.53,8.62,3837.22,0.0,25.0,4745.98,2421.91,149,8,2,143.90955090522766,4,3
7,Inferencing,6172.98,14.77,6256.44,0.0,0.0,7225.27,4934.65,142,1,16,539.3942291736603,39,10
8,Inferencing,7038.18,17.93,7057.33,0.0,0.0,7742.68,6277.68,155,2,2,88.61836814880371,7,0
9,Inferencing,3351.83,8.52,3448.1,0.0,25.0,4135.24,2103.32,158,0,1,77.9601104259491,2,2
10,Inferencing,2428.36,6.19,2583.59,25.0,75.0,3474.98,1037.48,157,1,1,65.14770889282227,2,2
11,Inferencing,2740.24,7.00,2788.58,25.0,75.0,3403.99,1979.99,157,2,0,51.80926012992859,1,0
12,Inferencing,8634.42,24.32,8813.69,0.0,0.0,11352.45,6694.17,124,1,34,2884.5696415901184,102,1
13,Inferencing,3078.39,8.59,3135.87,0.0,50.0,4058.54,2520.34,158,0,1,80.44143152236938,4,0
14,Inferencing,1243.65,3.54,1334.41,100.0,100.0,1631.9,422.9,158,0,1,77.41825032234192,2,2
15,Inferencing,4984.91,13.99,5002.45,0.0,0.0,5684.53,4578.04,159,0,0,48.14162611961365,1,0
16,Inferencing,3036.91,8.20,3089.74,0.0,50.0,3949.91,2434.91,90,3,66,7500.540238380432,197,2
17,Inferencing,855.0,2.31,921.14,100.0,100.0,1220.25,500.25,159,0,0,49.77719855308533,1,0
18,Inferencing,2997.27,8.25,3052.21,0.0,50.0,3825.2,2352.32,152,6,1,90.95652031898499,4,0
19,Inferencing,853.25,2.39,861.01,100.0,100.0,1046.25,746.25,143,14,2,103.91272854804993,6,1
20,Inferencing,529.13,1.43,578.03,100.0,100.0,869.16,291.68,158,0,1,81.94933986663818,3,1
21,Inferencing,1601.39,4.22,1626.9,75.0,100.0,2001.39,1193.39,159,0,0,51.67743635177612,1,0
22,Inferencing,352.04,0.95,435.08,100.0,100.0,758.04,50.04,158,1,0,69.43411469459534,1,0
23,Inferencing,244.23,0.65,259.08,100.0,100.0,371.79,128.39,149,10,0,91.06281661987305,1,0
24,Inferencing,1343.75,3.51,1442.84,75.0,100.0,2147.75,683.75,159,0,0,49.96743083000183,1,0
25,Inferencing,7898.83,17.35,8104.98,0.0,0.0,9821.83,5071.83,153,6,0,49.44608187675476,1,0
26,Inferencing,1620.41,3.52,1681.08,75.0,100.0,2199.25,1016.44,151,5,3,102.28470945358276,9,1
27,Inferencing,6347.72,13.63,6512.5,0.0,0.0,7854.04,4154.24,158,1,0,55.42369985580444,1,0
28,Inferencing,1555.59,3.24,1806.72,50.0,100.0,2533.95,397.3,154,5,0,56.046754360198975,1,0
29,Inferencing,905.71,1.93,1042.11,100.0,100.0,1557.3,117.89,154,0,5,194.51755023002625,15,1
30,Inferencing,323.57,0.69,383.7,100.0,100.0,654.53,127.41,157,2,0,54.69665551185608,1,0
31,Inferencing,1015.39,2.24,1169.05,100.0,100.0,1670.35,433.85,153,1,5,261.42566084861755,15,1
32,Inferencing,492.46,1.08,589.81,100.0,100.0,818.05,23.39,153,1,5,290.64785861968994,15,1
33,Inferencing,1264.27,2.70,1498.94,75.0,100.0,2136.86,343.65,153,1,5,319.56528520584106,15,1
