Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Maximum error,Minimum error,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node,nb_node_pruned
1,Training,1723.34,3.23,2032.27,60.38,90.57,6108.78,26.16,158,0,1,78.59899663925171,2,2
2,Training,1950.08,3.70,2270.37,55.35,83.65,6111.3,1.61,157,0,2,104.6189079284668,2,5
3,Training,2032.29,3.94,2381.91,49.06,77.36,5955.51,34.88,155,2,2,140.9314124584198,4,3
4,Training,1844.97,3.60,2559.59,63.52,74.21,6127.5,0.01,134,2,23,1152.025928735733,63,4
5,Training,1733.41,3.37,2243.37,63.52,82.39,6019.09,0.01,150,0,9,358.19092869758606,28,0
6,Training,1743.34,3.49,2223.26,64.15,79.87,6127.01,2.32,149,8,2,143.90955090522766,4,3
7,Training,1773.77,3.49,2240.79,61.64,86.79,6125.27,0.05,142,1,16,539.3942291736603,39,10
8,Training,2259.04,4.60,2797.04,50.94,66.67,6126.86,0.36,155,2,2,88.61836814880371,7,0
9,Training,1713.51,3.45,2169.17,63.52,83.02,6046.41,6.43,158,0,1,77.9601104259491,2,2
10,Training,1451.86,2.96,1807.09,75.47,90.57,6076.06,44.96,157,1,1,65.14770889282227,2,2
11,Training,1322.25,2.76,1738.48,81.13,93.08,6126.96,4.95,157,2,0,51.80926012992859,1,0
12,Training,1794.01,3.74,2612.86,64.15,74.84,6111.88,0.0,124,1,34,2884.5696415901184,102,1
13,Training,1257.08,2.73,1735.78,79.87,92.45,5818.66,15.39,158,0,1,80.44143152236938,4,0
14,Training,1691.64,3.55,2085.68,62.89,82.39,6023.24,16.0,158,0,1,77.41825032234192,2,2
15,Training,1702.26,3.86,2285.62,69.81,81.13,5885.54,2.19,159,0,0,48.14162611961365,1,0
16,Training,1484.69,3.54,2353.16,71.7,78.62,6094.09,0.02,90,3,66,7500.540238380432,197,2
17,Training,1446.43,3.15,2007.19,73.58,85.53,5889.1,36.39,159,0,0,49.77719855308533,1,0
18,Training,1876.0,4.21,2335.95,61.01,79.87,6126.48,72.45,152,6,1,90.95652031898499,4,0
19,Training,1321.25,3.09,1777.4,76.73,90.57,6106.25,12.58,143,14,2,103.91272854804993,6,1
20,Training,1226.81,2.82,1637.53,77.36,91.82,5101.91,15.27,158,0,1,81.94933986663818,3,1
21,Training,1041.82,2.38,1376.57,86.16,96.23,4368.66,8.02,159,0,0,51.67743635177612,1,0
22,Training,1334.78,3.06,1710.16,81.76,91.19,6127.17,30.29,158,1,0,69.43411469459534,1,0
23,Training,1932.31,4.37,2385.31,62.89,74.21,6126.62,64.39,149,10,0,91.06281661987305,1,0
24,Training,1043.34,2.45,1290.78,89.31,96.86,4029.95,11.87,159,0,0,49.96743083000183,1,0
25,Training,1841.11,4.15,2346.13,62.89,75.47,5521.52,10.17,153,6,0,49.44608187675476,1,0
26,Training,1693.05,3.97,2179.08,67.3,84.28,6040.77,0.45,151,5,3,102.28470945358276,9,1
27,Training,1080.36,2.57,1445.89,85.53,94.97,5000.24,15.5,158,1,0,55.42369985580444,1,0
28,Training,1135.12,2.70,1521.12,83.02,91.82,4683.68,7.53,154,5,0,56.046754360198975,1,0
29,Training,1159.3,2.81,1539.7,81.76,92.45,5555.04,0.09,154,0,5,194.51755023002625,15,1
30,Training,1136.53,2.70,1476.02,84.28,93.71,4261.08,1.67,157,2,0,54.69665551185608,1,0
31,Training,1107.74,2.70,1478.76,85.53,93.08,5559.0,0.46,153,1,5,261.42566084861755,15,1
32,Training,1092.87,2.68,1481.95,84.28,93.08,5568.34,0.46,153,1,5,290.64785861968994,15,1
33,Training,1072.13,2.63,1471.94,84.28,93.08,5581.91,0.29,153,1,5,319.56528520584106,15,1
34,Training,1092.69,2.68,1473.14,86.79,93.08,5589.43,0.3,153,1,5,306.309636592865,15,1
35,Training,1385.57,3.43,1789.55,74.21,89.94,5955.16,0.38,147,4,8,515.2697286605835,15,10
36,Training,1245.53,2.98,1615.94,80.5,91.82,5603.7,0.46,153,1,5,388.996009349823,15,1
37,Training,1232.1,2.95,1571.67,79.25,93.71,5589.72,0.28,153,1,5,420.4781997203827,15,1
38,Training,1252.34,2.96,1580.87,83.02,94.97,5560.76,0.46,153,1,5,446.9672667980194,15,1
