Date,Actual,Forecasted_price
2015-01-05,45679.0,47583.01
2015-01-12,42767.0,47503.57
2015-01-19,41756.0,47583.92
2015-01-26,40240.0,47588.93
2015-02-02,41199.0,46399.05
2015-02-09,41263.0,45149.89
2015-02-16,41863.0,44353.58
2015-02-23,42162.5,43855.81
2015-03-02,42585.0,42976.51
2015-03-09,42293.0,42976.51
2015-03-16,42275.0,42976.51
2015-03-23,43572.0,40013.26
2015-03-30,43575.0,44445.22
2015-04-06,43593.0,44881.44
2015-04-13,43589.0,44392.51
2015-04-20,43714.0,43606.75
2015-04-27,44420.0,50063.76
2015-05-04,45950.0,50484.21
2015-05-11,45979.0,56637.73
2015-05-18,45579.0,54808.74
2015-05-25,44620.0,47041.91
2015-06-01,43740.0,47349.57
2015-06-08,43480.0,47660.65
2015-06-15,42456.0,47201.98
2015-06-22,42386.0,47788.38
2015-06-29,42739.0,47673.65
2015-07-06,41353.0,48482.6
2015-07-13,41129.0,48354.27
2015-07-20,40055.0,46332.68
2015-07-27,39308.0,46332.68
2015-08-03,38590.0,46332.68
2015-08-10,39225.0,46332.68
2015-08-17,39051.0,43186.24
2015-08-24,39134.0,43129.41
2015-08-31,39329.0,42502.32
2015-09-07,40399.0,42502.32
2015-09-14,40934.0,41971.48
2015-09-21,39478.0,41971.48
2015-09-28,38496.5,41971.48
2015-10-05,39264.0,41971.48
2015-10-12,39996.0,41975.99
2015-10-19,39339.0,41975.99
2015-10-26,39036.0,41975.99
2015-11-02,38572.0,41975.99
2015-11-09,37450.0,44968.55
2015-11-16,35234.0,46586.45
2015-11-23,34435.0,41129.17
2015-11-30,35126.0,44098.52
2015-12-07,35274.0,39332.54
2015-12-14,35832.0,38883.34
2015-12-21,36200.0,38883.34
2015-12-28,36363.0,38883.34
2016-01-04,36178.0,36600.9
2016-01-11,35046.0,36600.9
2016-01-18,34969.0,36600.9
2016-01-25,35236.0,36600.9
2016-02-01,35518.0,40320.54
2016-02-08,35742.5,40320.54
2016-02-15,35446.0,40320.54
2016-02-22,35813.0,41497.53
2016-02-29,36251.0,40200.91
2016-03-07,37161.0,40200.91
2016-03-14,37478.0,40200.91
2016-03-21,37766.0,40200.91
2016-03-28,37260.0,36039.75
2016-04-04,36565.0,36039.75
2016-04-11,36540.0,36039.75
2016-04-18,37214.0,36039.75
2016-04-25,37524.0,40104.73
2016-05-02,37052.0,39404.32
2016-05-09,35812.0,39637.2
2016-05-16,35558.0,38788.83
2016-05-23,35574.0,34827.75
2016-05-30,35658.0,34827.75
2016-06-06,35874.0,34827.75
2016-06-13,35618.0,34827.75
2016-06-20,36064.0,36933.16
2016-06-27,37134.0,36842.32
2016-07-04,37448.0,37110.32
2016-07-11,37792.0,37173.98
2016-07-18,38274.0,36272.61
2016-07-25,37916.0,36272.61
2016-08-01,37840.0,36272.61
2016-08-08,37466.0,36272.61
2016-08-15,37208.0,36449.96
2016-08-22,36752.0,36449.96
2016-08-29,36500.0,36449.96
2016-09-05,36748.0,36449.96
2016-09-12,36812.0,36683.61
2016-09-19,37488.0,37718.18
2016-09-26,37834.0,37462.21
2016-10-03,37820.0,38066.57
2016-10-10,37964.0,36770.25
2016-10-17,37454.0,36770.25
2016-10-24,38120.0,36770.25
2016-10-31,38918.0,36770.25
2016-11-07,42342.0,37270.17
2016-11-14,44880.0,37270.17
2016-11-21,46362.0,37270.17
2016-11-28,47092.0,37270.17
2016-12-05,47162.0,44962.75
2016-12-12,46768.0,45359.85
2016-12-19,45008.0,46024.44
2016-12-26,44638.0,46495.8
2017-01-02,45320.0,41165.76
2017-01-09,46388.0,40458.27
2017-01-16,46780.0,39327.11
2017-01-23,47208.33,39354.29
2017-01-30,46986.67,44612.26
2017-02-06,46880.0,46482.7
2017-02-13,48976.0,46442.05
2017-02-20,48254.0,47337.3
2017-02-27,47840.0,47957.89
2017-03-06,47010.0,47919.72
2017-03-13,47188.0,48225.91
2017-03-20,46900.0,48457.3
2017-03-27,46826.0,47162.85
2017-04-03,47356.0,47180.5
2017-04-10,46430.0,47084.53
2017-04-17,46024.0,46151.41
2017-04-24,46094.0,46537.53
2017-05-01,46159.0,46592.85
2017-05-08,44956.0,46626.35
2017-05-15,45146.0,46659.85
2017-05-22,45808.0,46165.91
2017-05-29,45478.0,46248.49
2017-06-05,45238.0,46056.05
2017-06-12,45760.0,45736.61
2017-06-19,45624.0,45967.65
2017-06-26,46712.0,46125.04
2017-07-03,46960.0,44823.14
2017-07-10,46900.0,44910.39
2017-07-17,47558.0,45207.52
2017-07-24,49028.0,44806.27
2017-07-31,50188.0,44768.88
2017-08-07,50360.0,44928.59
2017-08-14,50354.0,45395.92
2017-08-21,51438.0,46743.01
2017-08-28,52592.0,47600.81
2017-09-04,53060.0,47902.33
2017-09-11,51014.0,49090.35
2017-09-18,50476.0,49827.39
2017-09-25,50758.0,49874.14
2017-10-02,51990.0,50006.59
2017-10-09,53014.0,49619.35
2017-10-16,54944.0,49604.54
2017-10-23,55334.0,49003.07
2017-10-30,54186.0,49772.83
2017-11-06,53982.0,52768.68
2017-11-13,53226.0,53911.64
2017-11-20,53540.0,54283.27
2017-11-27,53264.0,53406.77
2017-12-04,52184.0,53376.46
2017-12-11,52126.0,52997.82
2017-12-18,53596.0,52284.15
2017-12-25,54754.0,51869.66
2018-01-01,54753.0,52345.87
2018-01-08,54506.0,52060.71
2018-01-15,53906.0,52702.7
2018-01-22,53272.0,53266.78
2018-01-29,53004.0,55202.9
2018-02-05,52236.0,55357.16
2018-02-12,51961.0,54984.75
2018-02-19,52440.0,54486.11
2018-02-26,52462.0,53854.51
2018-03-05,51700.0,53842.94
2018-03-12,51562.0,55532.23
2018-03-19,50624.0,58316.63
2018-03-26,49362.0,53270.07
2018-04-02,50484.0,53890.24
2018-04-09,50818.0,54690.39
2018-04-16,51174.0,53773.38
2018-04-23,51752.0,52257.43
2018-04-30,50988.0,51821.13
2018-05-07,50994.0,51521.17
2018-05-14,50996.0,51296.79
2018-05-21,51340.0,52925.15
2018-05-28,51242.0,53877.23
2018-06-04,52704.0,54632.19
2018-06-11,53422.0,53881.9
2018-06-18,52008.0,54864.91
2018-06-25,51346.0,54822.4
2018-07-02,50340.0,55225.9
2018-07-09,48930.0,55133.87
2018-07-16,48664.0,50130.1
2018-07-23,49570.0,50592.93
2018-07-30,49614.0,49572.51
2018-08-06,49510.0,48684.51
2018-08-13,48824.0,48908.38
2018-08-20,48562.0,49367.95
2018-08-27,48792.0,48982.13
2018-09-03,48081.0,49678.9
2018-09-10,48228.0,52966.8
2018-09-17,49424.0,52301.44
2018-09-24,50431.0,51265.22
2018-10-01,50300.0,49945.4
2018-10-08,50520.0,49842.13
2018-10-15,50406.0,50731.96
2018-10-22,50132.0,51718.96
2018-10-29,49364.0,51593.44
2018-11-05,49670.0,51174.77
2018-11-12,49166.0,51949.47
2018-11-19,49732.0,51090.05
2018-11-26,49520.0,51008.8
2018-12-03,49770.0,49124.92
2018-12-10,49344.0,48964.42
2018-12-17,48678.0,48521.1
2018-12-24,48254.0,48392.55
2018-12-31,47740.0,49263.84
2019-01-07,47486.0,49153.21
2019-01-14,47398.0,49184.37
2019-01-21,47456.0,48376.43
2019-01-28,47682.0,47316.54
2019-02-04,47970.0,46738.54
2019-02-11,48098.0,46463.92
2019-02-18,49184.0,46183.51
2019-02-25,49950.0,46349.2
2019-03-04,50018.0,46060.96
2019-03-11,49788.0,46490.06
2019-03-18,50146.0,46701.16
2019-03-25,49444.0,49155.21
2019-04-01,49367.0,49128.28
2019-04-08,49346.0,48835.73
2019-04-15,49540.0,49326.71
2019-04-22,49214.0,49321.61
2019-04-29,48688.0,49313.82
2019-05-06,48046.0,49178.25
2019-05-13,47754.0,49140.85
2019-05-20,47414.0,48707.13
2019-05-27,46968.0,48792.84
2019-06-03,46328.0,48772.58
2019-06-10,46570.0,48450.03
2019-06-17,46680.0,47176.77
2019-06-24,47100.0,46936.03
2019-07-01,46722.0,46278.45
2019-07-08,46261.0,46563.61
2019-07-15,47072.0,48266.88
2019-07-22,47250.0,49079.5
2019-07-29,46900.0,49331.15
2019-08-05,46334.0,49760.44
2019-08-12,46566.0,47399.29
2019-08-19,46506.0,47251.26
2019-08-26,46528.0,47178.02
2019-09-02,46868.0,46874.17
2019-09-09,47486.0,47600.87
2019-09-16,47586.0,47479.78
2019-09-23,47238.0,48737.36
2019-09-30,47246.67,49173.26
2019-10-07,47013.33,46602.62
2019-10-14,46950.0,46586.21
2019-10-21,47260.0,46134.23
2019-10-28,47326.0,46155.36
2019-11-04,47272.0,45961.94
2019-11-11,47121.0,45675.66
2019-11-18,47094.0,45605.74
2019-11-25,47324.0,45635.34
2019-12-02,47318.0,48060.41
2019-12-09,48676.0,47969.35
2019-12-16,48988.0,47977.92
2019-12-23,49188.0,47909.7
2019-12-30,49133.0,49214.74
2020-01-06,48790.0,49214.74
2020-01-13,48966.0,49214.74
2020-01-20,48292.0,49214.74
2020-01-27,46380.0,49210.18
2020-02-03,45406.0,49210.18
2020-02-10,45492.0,49210.18
2020-02-17,46002.0,49210.18
2020-02-24,45338.0,48101.54
2020-03-02,45010.0,47987.98
2020-03-09,43594.0,48027.33
2020-03-16,40596.0,48092.0
2020-03-23,38284.0,48449.27
2020-03-30,39392.0,48449.27
2020-04-06,40843.0,48449.27
2020-04-13,42036.0,48449.27
2020-04-20,42024.0,49268.05
2020-04-27,42911.0,49268.05
2020-05-04,43131.0,49268.05
2020-05-11,43538.0,49268.05
2020-05-18,43992.0,44592.36
2020-05-25,44104.0,45853.61
2020-06-01,44970.0,45738.57
2020-06-08,46702.0,46004.35
2020-06-15,47128.0,49023.18
2020-06-22,48230.0,49023.18
2020-06-29,49264.0,49023.18
2020-07-06,50040.0,48227.7
2020-07-13,52242.0,48639.76
2020-07-20,51994.0,48811.56
2020-07-27,51914.0,49213.19
2020-08-03,51450.0,49229.55
2020-08-10,50384.0,50937.91
2020-08-17,51682.0,50760.67
2020-08-24,51526.0,50692.11
2020-08-31,52026.0,50878.31
