Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Maximum error,Minimum error,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Inferencing,4189.96,10.08,4699.87,25.0,25.0,6772.1,971.87,159,0,0,155.99386262893677,1
2,Inferencing,2230.33,5.40,2756.97,50.0,75.0,4519.54,297.18,159,0,0,4.550716400146484,1
3,Inferencing,324.6,0.75,461.53,100.0,100.0,891.8,113.14,159,0,0,4.493131399154663,1
4,Inferencing,827.91,1.90,899.07,100.0,100.0,1209.39,261.51,159,0,0,4.569716691970825,1
5,Inferencing,1413.84,3.09,1591.76,75.0,100.0,2008.58,201.33,159,0,0,4.563995838165283,1
6,Inferencing,444.7,1.01,488.0,100.0,100.0,780.94,256.15,159,0,0,4.524531364440918,1
7,Inferencing,1314.84,3.13,1359.6,100.0,100.0,1738.35,854.22,159,0,0,4.614357948303223,1
8,Inferencing,3591.37,9.16,3624.35,0.0,25.0,4284.5,2906.3,159,0,0,4.572541236877441,1
9,Inferencing,2652.04,6.74,2706.04,25.0,50.0,3183.16,1861.21,159,0,0,4.574293851852417,1
10,Inferencing,2556.28,6.53,2783.34,25.0,50.0,3610.4,734.07,159,0,0,4.465415000915527,1
11,Inferencing,496.27,1.28,792.7,100.0,100.0,1550.32,29.5,159,0,0,4.474081039428711,1
12,Inferencing,4129.65,11.68,4208.77,0.0,0.0,5170.5,3148.46,159,0,0,4.464313745498657,1
13,Inferencing,1176.3,3.29,1255.62,100.0,100.0,1902.07,728.3,159,0,0,4.460604906082153,1
14,Inferencing,1628.42,4.63,1739.12,50.0,100.0,2294.82,758.48,159,0,0,4.443389415740967,1
15,Inferencing,147.88,0.41,155.72,100.0,100.0,216.48,78.52,159,0,0,4.4735918045043945,1
16,Inferencing,1548.32,4.14,1649.52,75.0,100.0,2150.32,635.32,159,0,0,4.673045635223389,1
17,Inferencing,789.59,2.13,860.77,100.0,100.0,1154.84,434.84,159,0,0,4.4216554164886475,1
18,Inferencing,801.5,2.18,869.34,100.0,100.0,1315.77,396.23,159,0,0,4.437625408172607,1
19,Inferencing,1112.21,3.12,1145.82,100.0,100.0,1348.12,645.46,159,0,0,4.41776442527771,1
20,Inferencing,982.2,2.62,1123.79,100.0,100.0,1601.4,126.6,159,0,0,4.426992177963257,1
21,Inferencing,1587.71,4.19,1613.44,100.0,100.0,1987.71,1179.71,159,0,0,4.4058837890625,1
22,Inferencing,373.22,1.01,452.39,100.0,100.0,779.22,71.22,159,0,0,4.441967010498047,1
23,Inferencing,1018.34,2.70,1099.43,100.0,100.0,1363.84,341.84,159,0,0,4.394162654876709,1
24,Inferencing,1563.77,4.08,1649.7,75.0,100.0,2367.77,903.77,159,0,0,4.420528173446655,1
25,Inferencing,8487.64,18.66,8679.82,0.0,0.0,10410.64,5660.64,159,0,0,4.4141645431518555,1
26,Inferencing,3138.76,6.80,3245.01,0.0,50.0,4069.55,2313.18,157,1,1,4.5010833740234375,4
27,Inferencing,1823.32,3.91,1907.0,50.0,100.0,2277.22,871.16,159,0,0,0.9288451671600342,4
28,Inferencing,776.15,1.60,1045.04,100.0,100.0,1934.56,189.88,159,0,0,0.8018190860748291,4
29,Inferencing,515.68,1.10,594.38,100.0,100.0,867.91,57.24,159,0,0,0.6170525550842285,4
30,Inferencing,1019.14,2.19,1096.26,100.0,100.0,1358.86,357.98,159,0,0,0.5453357696533203,4
31,Inferencing,1921.93,4.23,2004.74,50.0,100.0,2590.32,1266.89,159,0,0,0.5239617824554443,4
32,Inferencing,1133.44,2.49,1153.53,100.0,100.0,1465.86,878.72,159,0,0,0.5629563331604004,4
33,Inferencing,629.14,1.35,656.05,100.0,100.0,808.94,317.86,159,0,0,0.5969793796539307,4
34,Inferencing,4144.22,8.35,4351.16,25.0,25.0,5290.63,1999.94,159,0,0,0.5185258388519287,4
35,Inferencing,6625.77,12.73,6732.73,0.0,0.0,8201.08,5075.92,159,0,0,0.5648460388183594,4
36,Inferencing,3599.17,7.04,3639.84,0.0,25.0,4473.19,2982.56,159,0,0,1.989802360534668,4
37,Inferencing,7162.16,13.13,7311.9,0.0,0.0,8937.33,5004.56,159,0,0,1.4398326873779297,4
38,Inferencing,1415.84,2.64,1676.85,75.0,100.0,2873.8,551.02,159,0,0,1.0415112972259521,4
39,Inferencing,2402.31,4.45,3033.1,50.0,50.0,4967.54,417.03,159,0,0,1.0894606113433838,4
40,Inferencing,2407.75,4.43,2605.56,50.0,50.0,3372.88,1022.39,159,0,0,1.0573933124542236,4
41,Inferencing,312.59,0.60,368.96,100.0,100.0,637.29,111.54,159,0,0,0.9170050621032715,4
42,Inferencing,943.82,1.85,1304.16,75.0,100.0,2463.36,122.59,159,0,0,0.758324146270752,4
43,Inferencing,3651.57,7.27,3912.87,25.0,25.0,4985.53,1292.75,159,0,0,0.627403974533081,4
44,Inferencing,1193.38,2.32,1435.69,75.0,100.0,2500.19,410.84,159,0,0,0.5849442481994629,4
45,Inferencing,2130.12,4.04,2549.76,50.0,75.0,4210.72,519.07,159,0,0,0.488818883895874,4
46,Inferencing,2495.77,4.88,2755.16,25.0,50.0,3642.33,684.07,159,0,0,0.7335195541381836,4
47,Inferencing,2360.61,4.77,2630.39,50.0,75.0,4102.19,1105.84,159,0,0,0.6753478050231934,4
48,Inferencing,2074.18,4.27,2130.22,50.0,100.0,2876.47,1597.44,159,0,0,0.8238945007324219,4
49,Inferencing,2608.4,5.22,2882.58,50.0,75.0,4446.07,1166.44,159,0,0,1.087313175201416,4
50,Inferencing,1719.96,3.42,1876.2,75.0,100.0,2944.16,926.46,159,0,0,1.063406229019165,4
51,Inferencing,512.13,1.04,659.48,100.0,100.0,1093.68,111.63,159,0,0,0.8327512741088867,4
52,Inferencing,1997.91,4.09,2101.56,50.0,100.0,2743.14,1126.64,159,0,0,0.5568773746490479,4
53,Inferencing,4051.23,8.53,4067.74,0.0,0.0,4571.4,3544.52,159,0,0,0.51068115234375,4
