Date,Actual,Forecasted_price
2015-01-05,45679.0,46650.87
2015-01-12,42767.0,46601.81
2015-01-19,41756.0,46937.07
2015-01-26,40240.0,47012.1
2015-02-02,41199.0,45718.54
2015-02-09,41263.0,44171.21
2015-02-16,41863.0,43059.37
2015-02-23,42162.5,42459.68
2015-03-02,42585.0,42471.86
2015-03-09,42293.0,42460.79
2015-03-16,42275.0,42400.68
2015-03-23,43572.0,42680.2
2015-03-30,43575.0,42718.46
2015-04-06,43593.0,42383.61
2015-04-13,43589.0,42604.8
2015-04-20,43714.0,43452.49
2015-04-27,44420.0,44621.33
2015-05-04,45950.0,44476.51
2015-05-11,45979.0,44007.04
2015-05-18,45579.0,43570.42
2015-05-25,44620.0,43839.06
2015-06-01,43740.0,44142.59
2015-06-08,43480.0,43819.13
2015-06-15,42456.0,42199.85
2015-06-22,42386.0,40844.52
2015-06-29,42739.0,41000.65
2015-07-06,41353.0,42207.22
2015-07-13,41129.0,42254.32
2015-07-20,40055.0,42961.3
2015-07-27,39308.0,42927.62
2015-08-03,38590.0,42874.5
2015-08-10,39225.0,42780.07
2015-08-17,39051.0,42234.16
2015-08-24,39134.0,42244.64
2015-08-31,39329.0,41782.14
2015-09-07,40399.0,42260.21
2015-09-14,40934.0,41668.07
2015-09-21,39478.0,42666.5
2015-09-28,38496.5,42106.9
2015-10-05,39264.0,41956.14
2015-10-12,39996.0,39966.5
2015-10-19,39339.0,39657.84
2015-10-26,39036.0,39122.43
2015-11-02,38572.0,40122.32
2015-11-09,37450.0,40598.46
2015-11-16,35234.0,39877.37
2015-11-23,34435.0,39605.5
2015-11-30,35126.0,38682.28
2015-12-07,35274.0,37176.07
2015-12-14,35832.0,36921.91
2015-12-21,36200.0,36928.3
2015-12-28,36363.0,37347.94
2016-01-04,36178.0,36936.48
2016-01-11,35046.0,37143.3
2016-01-18,34969.0,37263.82
2016-01-25,35236.0,36599.09
2016-02-01,35518.0,35596.52
2016-02-08,35742.5,35596.52
2016-02-15,35446.0,35596.52
2016-02-22,35813.0,35596.52
2016-02-29,36251.0,35615.68
2016-03-07,37161.0,35615.68
2016-03-14,37478.0,35615.68
2016-03-21,37766.0,35615.68
2016-03-28,37260.0,36105.16
2016-04-04,36565.0,36105.16
2016-04-11,36540.0,36105.16
2016-04-18,37214.0,36105.16
2016-04-25,37524.0,36208.23
2016-05-02,37052.0,36208.23
2016-05-09,35812.0,36208.23
2016-05-16,35558.0,36208.23
2016-05-23,35574.0,36219.46
2016-05-30,35658.0,36926.71
2016-06-06,35874.0,37060.57
2016-06-13,35618.0,36966.12
2016-06-20,36064.0,36190.6
2016-06-27,37134.0,36190.6
2016-07-04,37448.0,36190.6
2016-07-11,37792.0,36190.6
2016-07-18,38274.0,36286.29
2016-07-25,37916.0,36286.29
2016-08-01,37840.0,36286.29
2016-08-08,37466.0,36286.29
2016-08-15,37208.0,36428.78
2016-08-22,36752.0,36428.78
2016-08-29,36500.0,36428.78
2016-09-05,36748.0,36428.78
2016-09-12,36812.0,36470.16
2016-09-19,37488.0,36470.16
2016-09-26,37834.0,36470.16
2016-10-03,37820.0,36470.16
2016-10-10,37964.0,36550.23
2016-10-17,37454.0,36550.23
2016-10-24,38120.0,36550.23
2016-10-31,38918.0,36550.23
2016-11-07,42342.0,36681.36
2016-11-14,44880.0,36681.36
2016-11-21,46362.0,36681.36
2016-11-28,47092.0,36681.36
2016-12-05,47162.0,43092.45
2016-12-12,46768.0,42920.46
2016-12-19,45008.0,42683.21
2016-12-26,44638.0,42324.82
2017-01-02,45320.0,44448.84
2017-01-09,46388.0,44392.74
2017-01-16,46780.0,44630.37
2017-01-23,47208.33,44931.11
2017-01-30,46986.67,46730.57
2017-02-06,46880.0,47069.88
2017-02-13,48976.0,47041.44
2017-02-20,48254.0,47529.94
2017-02-27,47840.0,47897.24
2017-03-06,47010.0,47647.93
2017-03-13,47188.0,47687.66
2017-03-20,46900.0,47767.91
2017-03-27,46826.0,47850.32
2017-04-03,47356.0,47713.98
2017-04-10,46430.0,47765.4
2017-04-17,46024.0,47382.86
2017-04-24,46094.0,47360.89
2017-05-01,46159.0,47613.32
2017-05-08,44956.0,47546.32
2017-05-15,45146.0,47522.17
2017-05-22,45808.0,46686.72
2017-05-29,45478.0,46624.39
2017-06-05,45238.0,46703.86
2017-06-12,45760.0,46802.8
2017-06-19,45624.0,46302.99
2017-06-26,46712.0,46394.14
2017-07-03,46960.0,46151.06
2017-07-10,46900.0,46189.24
2017-07-17,47558.0,45558.06
2017-07-24,49028.0,44942.56
2017-07-31,50188.0,44897.37
2017-08-07,50360.0,45159.15
2017-08-14,50354.0,45278.08
2017-08-21,51438.0,45469.75
2017-08-28,52592.0,45334.18
2017-09-04,53060.0,44858.92
2017-09-11,51014.0,47530.84
2017-09-18,50476.0,47493.44
2017-09-25,50758.0,47300.22
2017-10-02,51990.0,47516.81
2017-10-09,53014.0,48009.44
2017-10-16,54944.0,46962.31
2017-10-23,55334.0,46396.67
2017-10-30,54186.0,47460.94
