Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Maximum error,Minimum error,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Training,1076.71,2.04,1526.27,85.53,93.71,7005.45,15.56,159,0,0,155.99386262893677,1
2,Training,1109.5,2.15,1592.14,84.28,91.82,6989.74,17.93,159,0,0,4.550716400146484,1
3,Training,1134.89,2.22,1599.88,83.65,91.82,7010.38,6.56,159,0,0,4.493131399154663,1
4,Training,1122.79,2.21,1587.23,84.91,91.82,7025.14,16.9,159,0,0,4.569716691970825,1
5,Training,1099.07,2.17,1569.21,84.91,92.45,7023.78,6.94,159,0,0,4.563995838165283,1
6,Training,1109.15,2.21,1573.45,84.91,92.45,7053.42,7.25,159,0,0,4.524531364440918,1
7,Training,1088.69,2.17,1551.62,84.91,92.45,7007.42,8.84,159,0,0,4.614357948303223,1
8,Training,1061.54,2.14,1508.21,86.16,92.45,6892.29,7.57,159,0,0,4.572541236877441,1
9,Training,1123.37,2.31,1575.59,84.28,91.82,6854.3,1.57,159,0,0,4.574293851852417,1
10,Training,1153.82,2.40,1597.62,81.76,93.08,6880.17,6.79,159,0,0,4.465415000915527,1
11,Training,1156.78,2.43,1586.07,82.39,93.08,6992.68,1.33,159,0,0,4.474081039428711,1
12,Training,1122.55,2.36,1547.41,84.28,93.71,6999.86,6.14,159,0,0,4.464313745498657,1
13,Training,1166.08,2.51,1592.69,83.65,93.08,7130.86,5.28,159,0,0,4.460604906082153,1
14,Training,1155.73,2.50,1559.36,83.65,93.71,7093.71,8.44,159,0,0,4.443389415740967,1
15,Training,1159.29,2.52,1547.88,81.76,93.71,7049.82,1.18,159,0,0,4.4735918045043945,1
16,Training,1107.58,2.42,1501.51,83.65,96.23,6956.09,22.31,159,0,0,4.673045635223389,1
17,Training,1067.39,2.38,1445.66,85.53,96.86,6747.36,1.45,159,0,0,4.4216554164886475,1
18,Training,1039.92,2.35,1395.62,88.68,96.86,6517.48,8.23,159,0,0,4.437625408172607,1
19,Training,1016.12,2.32,1377.46,89.31,96.86,6672.65,1.13,159,0,0,4.41776442527771,1
20,Training,1015.31,2.33,1369.11,88.05,96.86,6471.88,9.4,159,0,0,4.426992177963257,1
21,Training,972.97,2.25,1258.28,88.68,97.48,4162.14,5.79,159,0,0,4.4058837890625,1
22,Training,964.64,2.26,1230.69,89.94,97.48,4150.6,3.31,159,0,0,4.441967010498047,1
23,Training,944.49,2.23,1211.93,89.94,97.48,4099.97,0.74,159,0,0,4.394162654876709,1
24,Training,946.27,2.25,1209.96,90.57,97.48,4041.0,4.95,159,0,0,4.420528173446655,1
25,Training,956.71,2.30,1221.78,90.57,97.48,3979.02,21.55,159,0,0,4.4141645431518555,1
26,Training,1017.55,2.45,1295.73,88.05,97.48,4048.45,15.7,157,1,1,4.5010833740234375,4
