Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Maximum error,Minimum error,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node,nb_node_pruned
1,Inferencing,3240.91,7.85,3878.76,25.0,50.0,5827.64,23.98,158,0,1,214.25317931175232,2,2
2,Inferencing,1966.25,4.76,2525.44,50.0,75.0,4172.67,55.04,158,0,1,213.65522503852844,2,2
3,Inferencing,2241.02,5.22,2551.88,75.0,75.0,4344.44,1339.21,154,2,3,315.78709173202515,4,6
4,Inferencing,638.17,1.46,678.9,100.0,100.0,1025.11,417.26,146,2,11,512.5863056182861,30,4
5,Inferencing,2610.7,5.76,2812.83,25.0,50.0,4002.86,1153.52,152,0,7,459.9452040195465,21,1
6,Inferencing,3448.98,7.95,3537.88,0.0,25.0,4302.44,2199.23,150,8,1,256.80160999298096,2,2
7,Inferencing,3198.64,7.62,3273.1,0.0,50.0,4267.7,2479.07,154,1,4,336.9712715148926,6,7
8,Inferencing,6858.61,17.47,6878.26,0.0,0.0,7563.11,6098.11,157,1,1,225.69990873336792,4,0
9,Inferencing,2748.38,6.99,2864.62,25.0,50.0,3496.71,1500.11,158,0,1,221.68098759651184,2,2
10,Inferencing,3934.98,10.03,4170.74,25.0,25.0,5449.17,1682.95,158,1,0,183.92138004302979,1,0
11,Inferencing,2276.73,5.82,2334.69,25.0,100.0,2940.48,1516.48,159,0,0,183.62705063819885,1,0
12,Inferencing,8634.35,24.32,8813.61,0.0,0.0,11352.32,6694.17,123,2,34,3150.110318183899,102,1
13,Inferencing,2641.91,7.37,2674.81,0.0,75.0,3285.16,2196.16,158,0,1,220.41785073280334,2,2
14,Inferencing,933.03,2.66,1050.96,100.0,100.0,1321.28,112.28,158,0,1,223.0612576007843,2,2
15,Inferencing,4917.61,13.80,4935.43,0.0,0.0,5618.25,4510.4,159,0,0,192.8492751121521,1,0
16,Inferencing,2892.13,7.81,2947.55,0.0,75.0,3805.13,2290.13,151,8,0,211.6828031539917,1,0
17,Inferencing,1873.0,5.07,1904.1,50.0,100.0,2238.25,1518.25,158,0,1,223.75602221488953,2,2
18,Inferencing,2756.46,7.59,2817.7,0.0,50.0,3552.08,2112.94,155,2,2,261.0497336387634,4,3
19,Inferencing,4291.03,12.02,4400.11,0.0,25.0,5326.49,2807.96,158,0,1,228.13452672958374,4,0
20,Inferencing,972.98,2.60,1108.76,100.0,100.0,1582.96,145.04,158,0,1,231.62758898735046,3,1
21,Inferencing,1607.02,4.24,1632.44,75.0,100.0,2007.02,1199.02,159,0,0,192.30578684806824,1,0
22,Inferencing,372.79,1.01,452.04,100.0,100.0,778.79,70.79,159,0,0,193.97387766838074,1,0
23,Inferencing,569.76,1.51,674.81,100.0,100.0,1085.79,63.79,154,3,2,253.67544054985046,2,5
24,Inferencing,1351.71,3.53,1450.26,75.0,100.0,2155.71,691.71,159,0,0,184.4033043384552,1,0
25,Inferencing,8143.97,17.89,8344.07,0.0,0.0,10066.97,5316.97,159,0,0,168.61972737312317,1,0
26,Inferencing,1227.42,2.70,1388.0,100.0,100.0,1895.57,210.08,156,1,2,209.0075716972351,6,1
27,Inferencing,4123.73,8.85,4239.77,0.0,25.0,5200.37,2684.69,159,0,0,164.16173672676086,1,0
28,Inferencing,2013.72,4.23,2213.01,50.0,75.0,3312.61,1078.77,159,0,0,164.70455598831177,1,0
29,Inferencing,2788.34,5.91,2891.31,25.0,50.0,3829.21,1782.14,159,0,0,165.18795943260193,1,0
30,Inferencing,543.72,1.17,671.06,100.0,100.0,1214.68,224.87,159,0,0,163.664409160614,1,0
31,Inferencing,2028.13,4.46,2271.08,25.0,75.0,3104.49,378.47,158,1,0,163.8422510623932,1,0
32,Inferencing,606.46,1.33,805.18,100.0,100.0,1443.02,71.0,157,2,0,161.73207664489746,1,0
33,Inferencing,1800.23,3.85,2001.27,50.0,100.0,2834.8,531.67,159,0,0,164.0798306465149,1,0
34,Inferencing,4187.9,8.44,4362.88,0.0,25.0,5273.75,2256.72,153,1,5,432.26719188690186,15,1
35,Inferencing,3951.03,7.63,3958.22,0.0,0.0,4342.14,3700.41,149,4,6,691.6350016593933,9,10
36,Inferencing,1365.52,2.66,1486.76,100.0,100.0,1989.25,651.32,153,1,5,497.4734482765198,15,1
37,Inferencing,4728.5,8.67,4848.4,0.0,0.0,6113.72,3323.92,153,1,5,533.758955001831,15,1
38,Inferencing,797.19,1.49,843.23,100.0,100.0,983.79,322.44,153,1,5,550.8877744674683,15,1
39,Inferencing,1503.65,2.78,2040.59,50.0,75.0,3441.55,34.44,152,2,5,556.6750457286835,15,1
40,Inferencing,1479.77,2.72,1637.29,50.0,100.0,2081.04,356.2,155,0,4,597.9063968658447,12,1
41,Inferencing,1664.47,3.19,1907.26,75.0,100.0,2964.12,400.29,155,0,4,684.6334674358368,12,1
42,Inferencing,3292.39,6.43,3978.35,50.0,50.0,6932.46,1268.49,159,0,0,174.10259628295898,1,0
43,Inferencing,5723.56,11.36,5797.33,0.0,0.0,6632.32,4187.68,158,0,1,213.33529472351074,4,0
44,Inferencing,267.36,0.52,306.06,100.0,100.0,511.73,121.7,156,2,1,253.4965889453888,3,1
45,Inferencing,2557.39,4.86,2814.67,50.0,50.0,4050.34,1388.07,153,4,2,245.56162929534912,7,0
46,Inferencing,3176.76,6.33,3427.79,25.0,50.0,5015.99,1676.54,159,0,0,199.13256931304932,1,0
47,Inferencing,895.19,1.81,1054.81,100.0,100.0,1651.29,100.42,159,0,0,196.39489698410034,1,0
48,Inferencing,2242.52,4.63,2394.0,50.0,75.0,3454.91,1138.09,158,1,0,197.4430320262909,1,0
