Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Maximum error,Minimum error,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node,nb_node_pruned
1,Training,1578.71,2.95,1903.29,67.92,89.94,6035.84,12.97,158,0,1,214.25317931175232,2,2
2,Training,1527.47,2.92,1859.47,74.21,91.82,6046.19,5.58,158,0,1,213.65522503852844,2,2
3,Training,2448.13,4.72,2823.44,40.88,69.18,6122.33,75.84,154,2,3,315.78709173202515,4,6
4,Training,1180.72,2.29,1585.06,79.25,93.08,5505.3,0.0,146,2,11,512.5863056182861,30,4
5,Training,1124.52,2.22,1557.08,82.39,94.97,6057.42,0.12,152,0,7,459.9452040195465,21,1
6,Training,2224.65,4.39,2610.04,49.06,69.18,6118.11,24.97,150,8,1,256.80160999298096,2,2
7,Training,1060.07,2.11,1406.79,86.79,95.6,5343.44,6.16,154,1,4,336.9712715148926,6,7
8,Training,2126.72,4.34,2653.76,50.31,72.33,5939.53,0.34,157,1,1,225.69990873336792,4,0
9,Training,1428.15,2.89,1814.27,75.47,91.82,6092.13,5.33,158,0,1,221.68098759651184,2,2
10,Training,1133.01,2.35,1531.28,83.02,94.97,6127.16,11.12,158,1,0,183.92138004302979,1,0
11,Training,1219.02,2.55,1618.31,80.5,94.34,5975.05,2.36,159,0,0,183.62705063819885,1,0
12,Training,1733.28,3.61,2503.87,66.67,77.36,6002.56,0.0,123,2,34,3150.110318183899,102,1
13,Training,1548.14,3.25,1910.24,70.44,91.19,6120.9,12.84,158,0,1,220.41785073280334,2,2
14,Training,1583.13,3.37,1974.57,69.81,88.05,6102.56,59.92,158,0,1,223.0612576007843,2,2
15,Training,1602.91,3.66,2219.43,70.44,82.39,5817.9,0.52,159,0,0,192.8492751121521,1,0
16,Training,2109.33,4.74,2630.98,55.35,71.7,6127.19,1.13,151,8,0,211.6828031539917,1,0
17,Training,1480.65,3.23,1880.02,72.96,86.16,6077.67,7.54,158,0,1,223.75602221488953,2,2
18,Training,1809.92,4.05,2249.83,62.26,83.65,6126.84,23.32,155,2,2,261.0497336387634,4,3
19,Training,1732.93,4.04,2267.08,66.04,79.25,6010.48,16.3,158,0,1,228.13452672958374,4,0
20,Training,1061.55,2.43,1424.42,88.68,93.08,4812.27,9.04,158,0,1,231.62758898735046,3,1
21,Training,969.47,2.23,1287.67,88.05,96.23,4286.34,2.36,159,0,0,192.30578684806824,1,0
22,Training,1286.86,2.95,1643.56,84.28,91.82,5764.22,15.64,159,0,0,193.97387766838074,1,0
23,Training,2069.95,4.60,2566.18,55.97,73.58,6068.3,0.21,154,3,2,253.67544054985046,2,5
24,Training,937.99,2.22,1180.17,92.45,98.74,3737.64,10.29,159,0,0,184.4033043384552,1,0
25,Training,1586.92,3.61,1991.83,69.18,83.65,4815.87,10.34,159,0,0,168.61972737312317,1,0
26,Training,1255.62,3.01,1629.14,81.76,91.82,6112.32,7.93,156,1,2,209.0075716972351,6,1
27,Training,1018.86,2.42,1334.46,86.79,95.6,4192.04,5.94,159,0,0,164.16173672676086,1,0
28,Training,1040.59,2.48,1350.9,88.05,95.6,4446.33,4.2,159,0,0,164.70455598831177,1,0
29,Training,1052.27,2.50,1371.72,86.79,95.6,4412.89,3.72,159,0,0,165.18795943260193,1,0
30,Training,1087.27,2.58,1413.62,84.91,94.97,4588.35,7.63,159,0,0,163.664409160614,1,0
