Date,Actual,Forecasted_price
2015-01-05,45679.0,45702.98
2015-01-12,42767.0,45642.26
2015-01-19,41756.0,45992.75
2015-01-26,40240.0,46067.64
2015-02-02,41199.0,45371.67
2015-02-09,41263.0,43942.55
2015-02-16,41863.0,42820.73
2015-02-23,42162.5,42107.46
2015-03-02,42585.0,43924.21
2015-03-09,42293.0,43924.21
2015-03-16,42275.0,43924.21
2015-03-23,43572.0,39227.56
2015-03-30,43575.0,44163.89
2015-04-06,43593.0,44618.11
2015-04-13,43589.0,44110.41
2015-04-20,43714.0,43296.74
2015-04-27,44420.0,40417.14
2015-05-04,45950.0,42905.88
2015-05-11,45979.0,48221.3
2015-05-18,45579.0,46732.52
2015-05-25,44620.0,46819.23
2015-06-01,43740.0,47146.45
2015-06-08,43480.0,47367.79
2015-06-15,42456.0,46758.44
2015-06-22,42386.0,38118.3
2015-06-29,42739.0,39394.27
2015-07-06,41353.0,43832.07
2015-07-13,41129.0,43832.07
2015-07-20,40055.0,46153.11
2015-07-27,39308.0,46153.11
2015-08-03,38590.0,46153.11
2015-08-10,39225.0,46153.11
2015-08-17,39051.0,42477.58
2015-08-24,39134.0,42630.71
2015-08-31,39329.0,41899.11
2015-09-07,40399.0,41899.11
2015-09-14,40934.0,42616.95
2015-09-21,39478.0,43842.59
2015-09-28,38496.5,43945.67
2015-10-05,39264.0,43507.2
2015-10-12,39996.0,41512.48
2015-10-19,39339.0,41512.48
2015-10-26,39036.0,41512.48
2015-11-02,38572.0,41512.48
2015-11-09,37450.0,44968.46
2015-11-16,35234.0,46586.32
2015-11-23,34435.0,41129.17
2015-11-30,35126.0,44098.44
2015-12-07,35274.0,38559.16
2015-12-14,35832.0,38559.16
2015-12-21,36200.0,38559.16
2015-12-28,36363.0,38559.16
2016-01-04,36178.0,36290.28
2016-01-11,35046.0,36290.28
2016-01-18,34969.0,36290.28
2016-01-25,35236.0,36290.28
2016-02-01,35518.0,40252.9
2016-02-08,35742.5,40252.9
2016-02-15,35446.0,40252.9
2016-02-22,35813.0,41431.25
2016-02-29,36251.0,40056.13
2016-03-07,37161.0,40056.13
2016-03-14,37478.0,40056.13
2016-03-21,37766.0,40056.13
2016-03-28,37260.0,35021.75
2016-04-04,36565.0,35021.75
2016-04-11,36540.0,35021.75
2016-04-18,37214.0,35021.75
2016-04-25,37524.0,39812.75
2016-05-02,37052.0,39164.94
2016-05-09,35812.0,39364.08
2016-05-16,35558.0,38630.05
2016-05-23,35574.0,38381.96
2016-05-30,35658.0,39714.43
2016-06-06,35874.0,40847.23
2016-06-13,35618.0,40944.49
2016-06-20,36064.0,36209.04
2016-06-27,37134.0,36209.04
2016-07-04,37448.0,36209.04
2016-07-11,37792.0,36209.04
2016-07-18,38274.0,36266.98
2016-07-25,37916.0,36266.98
2016-08-01,37840.0,36266.98
2016-08-08,37466.0,36266.98
2016-08-15,37208.0,36429.21
2016-08-22,36752.0,36429.21
2016-08-29,36500.0,36429.21
2016-09-05,36748.0,36429.21
2016-09-12,36812.0,36748.21
2016-09-19,37488.0,36905.39
2016-09-26,37834.0,36748.21
2016-10-03,37820.0,37273.18
2016-10-10,37964.0,36762.29
2016-10-17,37454.0,36762.29
2016-10-24,38120.0,36762.29
2016-10-31,38918.0,36762.29
2016-11-07,42342.0,37025.03
2016-11-14,44880.0,37025.03
2016-11-21,46362.0,37025.03
2016-11-28,47092.0,37025.03
2016-12-05,47162.0,46022.23
2016-12-12,46768.0,46557.92
2016-12-19,45008.0,46672.26
2016-12-26,44638.0,46533.57
2017-01-02,45320.0,42635.31
2017-01-09,46388.0,42624.43
2017-01-16,46780.0,41933.69
2017-01-23,47208.33,42007.96
2017-01-30,46986.67,48209.29
2017-02-06,46880.0,50192.61
2017-02-13,48976.0,50054.77
2017-02-20,48254.0,50694.86
2017-02-27,47840.0,49622.14
2017-03-06,47010.0,49432.62
2017-03-13,47188.0,51017.21
2017-03-20,46900.0,50019.39
2017-03-27,46826.0,47243.43
2017-04-03,47356.0,47673.91
2017-04-10,46430.0,47644.68
2017-04-17,46024.0,46248.87
2017-04-24,46094.0,46472.47
2017-05-01,46159.0,48732.3
2017-05-08,44956.0,48060.49
2017-05-15,45146.0,47202.25
2017-05-22,45808.0,45564.51
2017-05-29,45478.0,45407.0
2017-06-05,45238.0,44569.68
2017-06-12,45760.0,44316.98
2017-06-19,45624.0,45092.33
2017-06-26,46712.0,45213.14
2017-07-03,46960.0,44624.4
2017-07-10,46900.0,44065.2
2017-07-17,47558.0,45301.28
2017-07-24,49028.0,45016.91
2017-07-31,50188.0,44977.95
2017-08-07,50360.0,45086.25
