Date,Actual,Forecasted_price
2019-04-08,50018.0,139078.03
2019-04-15,49788.0,144543.22
2019-04-22,50146.0,137675.0
2019-04-29,49444.0,135608.19
2019-05-06,49367.0,134282.91
2019-05-13,49346.0,127258.55
2019-05-20,49540.0,126155.81
2019-05-27,49214.0,121804.02
2019-06-03,48688.0,123554.96
2019-06-10,48046.0,127948.98
2019-06-17,47754.0,129202.8
2019-06-24,47414.0,124831.09
2019-07-01,46968.0,119075.7
2019-07-08,46328.0,118875.28
2019-07-15,46570.0,121806.51
2019-07-22,46680.0,123335.17
2019-07-29,47100.0,128284.29
2019-08-05,46722.0,137090.83
2019-08-12,46261.0,136095.98
2019-08-19,47072.0,139343.12
2019-08-26,47250.0,140209.81
2019-09-02,46900.0,139967.34
2019-09-09,46334.0,132798.19
2019-09-16,46566.0,129224.69
2019-09-23,46506.0,127963.63
2019-09-30,46528.0,126530.36
2019-10-07,46868.0,124575.04
2019-10-14,47486.0,124712.36
2019-10-21,47586.0,126449.56
2019-10-28,47238.0,131415.84
2019-11-04,47246.67,129228.8
2019-11-11,47013.33,134005.67
2019-11-18,46950.0,136398.16
2019-11-25,47260.0,135307.64
2019-12-02,47326.0,133471.88
2019-12-09,47272.0,133077.52
2019-12-16,47121.0,132976.94
2019-12-23,47094.0,136625.52
2019-12-30,47324.0,136956.42
2020-01-06,47318.0,134927.88
2020-01-13,48676.0,134057.89
2020-01-20,48988.0,136953.67
2020-01-27,49188.0,140743.91
2020-02-03,49133.0,144704.47
2020-02-10,48790.0,146448.2
2020-02-17,48966.0,152250.25
2020-02-24,48292.0,148960.09
2020-03-02,46380.0,139633.97
2020-03-09,45406.0,135246.73
2020-03-16,45492.0,135610.83
2020-03-23,46002.0,135417.44
2020-03-30,45338.0,132322.14
2020-04-06,45010.0,127822.36
2020-04-13,43594.0,136596.11
2020-04-20,40596.0,142261.81
2020-04-27,38284.0,138692.8
2020-05-04,39392.0,135337.86
2020-05-11,40843.0,134534.72
2020-05-18,42036.0,133023.45
2020-05-25,42024.0,133569.86
2020-06-01,42911.0,145025.89
2020-06-08,43131.0,161585.38
2020-06-15,43538.0,150380.91
2020-06-22,43992.0,154433.33
2020-06-29,44104.0,148899.62
2020-07-06,44970.0,150517.19
2020-07-13,46702.0,150447.97
2020-07-20,47128.0,148234.25
2020-07-27,48230.0,143925.89
2020-08-03,49264.0,144885.72
2020-08-10,50040.0,147714.56
2020-08-17,52242.0,154331.05
2020-08-24,51994.0,141302.12
2020-08-31,51914.0,142177.69
2020-09-07,51450.0,145420.3
2020-09-14,50384.0,146599.95
2020-09-21,51682.0,143933.47
2020-09-28,51526.0,130966.2
2020-10-05,52026.0,133480.17
2020-10-12,52258.0,132458.03
2020-10-19,52140.0,135064.41
2020-10-26,51604.0,136359.53
2020-11-02,51247.71,140450.28
2020-11-09,51504.29,137724.25
2020-11-16,51626.0,132341.31
2020-11-23,52038.0,126299.88
2020-11-30,51726.0,123396.5
2020-12-07,51620.0,118247.47
2020-12-14,52124.0,121481.62
2020-12-21,53216.0,122265.43
2020-12-28,54890.0,119725.48
2021-01-04,57448.0,123513.83
2021-01-11,57418.0,117356.25
2021-01-18,58154.0,120717.49
2021-01-25,58320.0,118863.83
