Date,Actual,Forecasted_price
2019-03-04,50018.0,46633.61
2019-03-11,49788.0,47000.22
2019-03-18,50146.0,46922.47
2019-03-25,49444.0,47166.95
2019-04-01,49367.0,47118.72
2019-04-08,49346.0,46894.95
2019-04-15,49540.0,47133.7
2019-04-22,49214.0,46972.95
2019-04-29,48688.0,46955.46
2019-05-06,48046.0,47490.32
2019-05-13,47754.0,47262.66
2019-05-20,47414.0,47030.7
2019-05-27,46968.0,46707.42
2019-06-03,46328.0,46432.3
2019-06-10,46570.0,46198.4
2019-06-17,46680.0,46000.95
2019-06-24,47100.0,46024.06
2019-07-01,46722.0,46282.32
2019-07-08,46261.0,45943.41
2019-07-15,47072.0,46089.08
2019-07-22,47250.0,46355.2
2019-07-29,46900.0,46419.4
2019-08-05,46334.0,46102.07
2019-08-12,46566.0,46487.02
2019-08-19,46506.0,46765.02
2019-08-26,46528.0,46812.02
2019-09-02,46868.0,46707.18
2019-09-09,47486.0,46567.08
2019-09-16,47586.0,46471.79
2019-09-23,47238.0,46782.68
2019-09-30,47246.67,46865.0
2019-10-07,47013.33,47471.03
2019-10-14,46950.0,47970.68
2019-10-21,47260.0,48002.38
2019-10-28,47326.0,47815.41
2019-11-04,47272.0,47636.16
2019-11-11,47121.0,47344.88
2019-11-18,47094.0,47703.6
2019-11-25,47324.0,47991.72
2019-12-02,47318.0,47829.58
2019-12-09,48676.0,47709.69
2019-12-16,48988.0,47970.71
2019-12-23,49188.0,48478.79
2019-12-30,49133.0,48085.32
2020-01-06,48790.0,48658.83
2020-01-13,48966.0,49084.73
2020-01-20,48292.0,49444.48
2020-01-27,46380.0,49060.24
2020-02-03,45406.0,48965.75
2020-02-10,45492.0,49317.57
2020-02-17,46002.0,49558.88
2020-02-24,45338.0,48763.18
2020-03-02,45010.0,47764.96
2020-03-09,43594.0,48181.22
2020-03-16,40596.0,48214.14
2020-03-23,38284.0,47465.36
2020-03-30,39392.0,46984.85
2020-04-06,40843.0,46669.98
2020-04-13,42036.0,45525.2
2020-04-20,42024.0,43534.7
2020-04-27,42911.0,43199.66
2020-05-04,43131.0,42799.63
2020-05-11,43538.0,43161.37
2020-05-18,43992.0,42788.59
2020-05-25,44104.0,42834.91
2020-06-01,44970.0,43383.18
2020-06-08,46702.0,43439.29
2020-06-15,47128.0,43610.27
2020-06-22,48230.0,42937.58
2020-06-29,49264.0,43414.3
2020-07-06,50040.0,44804.4
2020-07-13,52242.0,45716.89
2020-07-20,51994.0,46386.07
2020-07-27,51914.0,47100.88
2020-08-03,51450.0,47357.29
2020-08-10,50384.0,48189.13
2020-08-17,51682.0,48700.68
2020-08-24,51526.0,48455.69
2020-08-31,52026.0,48942.67
2020-09-07,52258.0,49325.45
2020-09-14,52140.0,50449.46
2020-09-21,51604.0,51275.41
2020-09-28,51247.71,51072.69
2020-10-05,51504.29,51339.33
2020-10-12,51626.0,50864.95
2020-10-19,52038.0,50607.96
2020-10-26,51726.0,49971.87
2020-11-02,51620.0,49719.07
2020-11-09,52124.0,48868.82
2020-11-16,53216.0,48909.3
2020-11-23,54890.0,48685.02
2020-11-30,57448.0,48920.43
2020-12-07,57418.0,48755.55
2020-12-14,58154.0,48928.12
2020-12-21,58320.0,49424.73
