Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Maximum error,Minimum error,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Inferencing,5915.49,14.13,6249.11,0.0,25.0,8349.21,2837.71,140,0,0,44.733683586120605,1
2,Inferencing,4149.69,10.00,4360.87,0.0,25.0,6068.34,2576.07,4,0,0,0.9959328174591064,1
3,Inferencing,1584.55,3.73,1657.04,75.0,100.0,2045.68,819.62,4,0,0,0.9837093353271484,1
4,Inferencing,327.49,0.75,409.57,100.0,100.0,634.38,42.52,4,0,0,0.9880809783935547,1
5,Inferencing,1134.6,2.48,1228.35,100.0,100.0,1553.82,379.27,4,0,0,0.9866418838500977,1
6,Inferencing,437.38,1.00,458.38,100.0,100.0,659.48,288.5,4,0,0,1.359713077545166,1
7,Inferencing,1411.97,3.36,1449.55,100.0,100.0,1787.86,930.55,4,0,0,1.3221938610076904,1
8,Inferencing,3694.74,9.42,3725.32,0.0,0.0,4440.43,3113.27,4,0,0,1.3675520420074463,1
9,Inferencing,2951.31,7.49,2997.36,0.0,50.0,3445.88,2198.47,4,0,0,1.015340805053711,1
10,Inferencing,3068.5,7.82,3250.88,25.0,25.0,3938.03,1291.7,4,0,0,0.9949915409088135,1
11,Inferencing,1093.95,2.80,1170.16,100.0,100.0,1764.3,668.46,4,0,0,0.9936258792877197,1
12,Inferencing,4885.5,13.82,4964.11,0.0,0.0,5945.82,3644.79,4,0,0,1.0043563842773438,1
13,Inferencing,2426.5,6.78,2518.03,25.0,75.0,3562.42,1853.26,4,0,0,1.1760189533233643,1
14,Inferencing,2197.34,6.23,2258.33,25.0,100.0,2780.43,1428.71,4,0,0,1.341142177581787,1
15,Inferencing,471.92,1.33,510.66,100.0,100.0,727.01,187.91,4,0,0,1.137498140335083,1
16,Inferencing,2068.73,5.54,2174.42,25.0,100.0,2760.91,995.93,4,0,0,1.0380752086639404,1
17,Inferencing,839.15,2.27,906.45,100.0,100.0,1204.4,484.4,4,0,0,0.9793691635131836,1
18,Inferencing,801.5,2.19,828.67,100.0,100.0,1129.07,582.93,4,0,0,0.9893219470977783,1
19,Inferencing,933.65,2.62,973.29,100.0,100.0,1406.84,732.25,4,0,0,1.145106315612793,1
20,Inferencing,967.32,2.58,1099.58,100.0,100.0,1571.63,156.37,4,0,0,1.3670103549957275,1
21,Inferencing,1556.32,4.10,1582.55,100.0,100.0,1956.32,1148.32,4,0,0,1.2226676940917969,1
22,Inferencing,322.13,0.87,411.26,100.0,100.0,728.13,20.13,4,0,0,1.0409300327301025,1
23,Inferencing,997.42,2.65,1080.08,100.0,100.0,1342.92,320.92,4,0,0,0.9872992038726807,1
24,Inferencing,1533.46,4.01,1621.0,75.0,100.0,2337.46,873.46,4,0,0,0.9929330348968506,1
25,Inferencing,8476.02,18.63,8668.45,0.0,0.0,10399.02,5649.02,4,0,0,1.0193634033203125,1
