Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Maximum error,Minimum error,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Training,1282.43,2.46,1689.09,82.39,92.45,7085.71,23.17,140,0,0,36.599567890167236,1
2,Training,1270.32,2.49,1773.25,83.65,90.57,7082.44,0.58,4,0,0,1.0227282047271729,1
3,Training,1252.6,2.47,1746.68,81.76,89.94,7099.0,19.39,4,0,0,1.030597448348999,1
4,Training,1185.85,2.34,1675.16,84.91,90.57,7105.89,17.73,4,0,0,1.0309803485870361,1
5,Training,1137.43,2.25,1645.61,84.91,89.94,7109.28,4.39,4,0,0,1.0304980278015137,1
6,Training,1143.78,2.27,1642.38,85.53,89.94,7085.83,7.12,4,0,0,1.035421371459961,1
7,Training,1128.97,2.25,1621.46,85.53,90.57,7056.94,20.07,4,0,0,1.0304698944091797,1
8,Training,1123.19,2.26,1595.67,86.16,91.19,7015.21,24.29,4,0,0,1.023611307144165,1
9,Training,1209.69,2.48,1678.6,83.65,89.94,6963.87,1.11,4,0,0,1.0351643562316895,1
10,Training,1266.98,2.63,1713.64,79.87,91.82,6953.82,13.04,4,0,0,1.0257012844085693,1
11,Training,1268.71,2.68,1699.17,79.25,91.82,6903.34,8.68,4,0,0,1.0391004085540771,1
12,Training,1211.39,2.57,1648.1,81.13,93.71,6932.59,2.38,4,0,0,1.0500502586364746,1
13,Training,1265.68,2.76,1730.13,80.5,90.57,7064.83,0.06,4,0,0,1.0240778923034668,1
14,Training,1294.99,2.84,1725.51,80.5,89.94,7084.34,0.46,4,0,0,1.0250918865203857,1
15,Training,1292.71,2.84,1713.88,79.87,91.19,7188.75,12.1,4,0,0,1.0387074947357178,1
16,Training,1240.25,2.75,1662.45,82.39,91.19,7096.89,3.89,4,0,0,1.030972957611084,1
17,Training,1203.09,2.70,1621.53,82.39,91.82,7040.28,3.85,4,0,0,1.0258886814117432,1
18,Training,1171.94,2.64,1589.05,83.65,93.08,7033.05,10.95,4,0,0,1.0180416107177734,1
19,Training,1105.87,2.52,1524.11,87.42,94.97,7253.3,1.75,4,0,0,1.0343339443206787,1
20,Training,1096.99,2.51,1513.01,87.42,95.6,7334.96,3.92,4,0,0,1.0951197147369385,1
21,Training,1024.98,2.38,1372.57,89.31,95.6,4815.62,15.37,4,0,0,1.0902574062347412,1
22,Training,991.59,2.34,1299.65,90.57,96.86,4828.66,6.64,4,0,0,1.0923662185668945,1
23,Training,976.19,2.31,1278.12,90.57,97.48,4712.44,9.12,4,0,0,1.1116752624511719,1
24,Training,978.54,2.33,1272.78,90.57,97.48,4651.93,3.36,4,0,0,1.1012001037597656,1
25,Training,996.2,2.39,1286.9,89.94,97.48,4581.06,1.04,4,0,0,1.1031897068023682,1
26,Training,1035.48,2.50,1383.21,88.68,94.97,5444.7,18.59,2,1,1,24.008325815200806,4
27,Training,1033.86,2.50,1325.73,86.79,97.48,4286.94,3.77,4,0,0,0.972707986831665,4
