Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Inferencing,7424.53,17.67,7685.77,0.0,0.0,158,1,0,40.345672845840454,1
2,Inferencing,8255.71,19.85,8265.67,0.0,0.0,158,0,1,10.861505508422852,4
3,Inferencing,7056.49,16.55,7076.27,0.0,0.0,156,1,2,76.95061802864075,9
4,Inferencing,6089.82,13.96,6090.07,0.0,0.0,159,0,0,54.31353545188904,9
5,Inferencing,4192.3,9.24,4239.84,0.0,0.0,159,0,0,53.9603545665741,9
6,Inferencing,5452.09,12.51,5483.82,0.0,0.0,159,0,0,54.91376209259033,9
7,Inferencing,4714.63,11.38,5961.66,25.0,50.0,159,0,0,59.206600189208984,9
8,Inferencing,9936.08,25.31,9949.65,0.0,0.0,157,1,1,82.2043149471283,12
9,Inferencing,9752.31,24.73,9767.31,0.0,0.0,155,0,4,82.977703332901,24
10,Inferencing,8689.09,21.97,8785.14,0.0,0.0,156,0,3,122.22775673866272,33
11,Inferencing,4576.85,11.60,5354.63,25.0,25.0,156,0,3,158.47868037223816,42
12,Inferencing,6683.29,18.98,7173.07,0.0,25.0,158,0,1,192.588285446167,45
13,Inferencing,13313.31,37.09,13319.88,0.0,0.0,158,0,1,212.14284920692444,48
14,Inferencing,9013.02,25.45,9735.29,0.0,0.0,155,0,4,241.39350724220276,60
15,Inferencing,2096.27,5.88,2136.93,75.0,100.0,157,0,2,279.54932260513306,66
16,Inferencing,900.26,2.43,1329.73,75.0,100.0,159,0,0,289.02482652664185,66
17,Inferencing,1047.26,2.84,1322.75,75.0,100.0,159,0,0,295.83386635780334,66
