Date,Actual,Forecasted_price
2015-01-05,45679.0,50025.55
2015-01-12,42767.0,50025.55
2015-01-19,41756.0,50025.55
2015-01-26,40240.0,50025.55
2015-02-02,41199.0,49665.08
2015-02-09,41263.0,49665.08
2015-02-16,41863.0,49665.08
2015-02-23,42162.5,49665.08
2015-03-02,42585.0,49554.67
2015-03-09,42293.0,50464.92
2015-03-16,42275.0,50377.76
2015-03-23,43572.0,49934.75
2015-03-30,43575.0,48966.7
2015-04-06,43593.0,48966.7
2015-04-13,43589.0,48966.7
2015-04-20,43714.0,48966.7
2015-04-27,44420.0,50261.23
2015-05-04,45950.0,50213.35
2015-05-11,45979.0,49342.62
2015-05-18,45579.0,48993.8
2015-05-25,44620.0,48607.37
2015-06-01,43740.0,48607.37
2015-06-08,43480.0,48607.37
2015-06-15,42456.0,48607.37
2015-06-22,42386.0,48406.05
2015-06-29,42739.0,48406.05
2015-07-06,41353.0,48406.05
2015-07-13,41129.0,48406.05
2015-07-20,40055.0,48153.17
2015-07-27,39308.0,48153.17
2015-08-03,38590.0,48153.17
2015-08-10,39225.0,48153.17
2015-08-17,39051.0,47829.57
2015-08-24,39134.0,47829.57
2015-08-31,39329.0,47829.57
2015-09-07,40399.0,47829.57
2015-09-14,40934.0,47528.67
2015-09-21,39478.0,47528.67
2015-09-28,38496.5,47528.67
2015-10-05,39264.0,47528.67
2015-10-12,39996.0,47246.0
2015-10-19,39339.0,47246.0
2015-10-26,39036.0,47246.0
2015-11-02,38572.0,47246.0
2015-11-09,37450.0,42371.79
2015-11-16,35234.0,42371.79
2015-11-23,34435.0,42371.79
2015-11-30,35126.0,42371.79
2015-12-07,35274.0,38279.81
2015-12-14,35832.0,38279.81
2015-12-21,36200.0,38279.81
2015-12-28,36363.0,38279.81
2016-01-04,36178.0,37002.57
2016-01-11,35046.0,37002.57
2016-01-18,34969.0,37002.57
2016-01-25,35236.0,37002.57
2016-02-01,35518.0,36112.96
2016-02-08,35742.5,36112.96
2016-02-15,35446.0,36112.96
2016-02-22,35813.0,36112.96
2016-02-29,36251.0,35643.37
2016-03-07,37161.0,35643.37
2016-03-14,37478.0,35643.37
2016-03-21,37766.0,35643.37
2016-03-28,37260.0,35988.71
2016-04-04,36565.0,35988.71
2016-04-11,36540.0,35988.71
2016-04-18,37214.0,35988.71
2016-04-25,37524.0,36196.62
2016-05-02,37052.0,36196.62
2016-05-09,35812.0,36196.62
2016-05-16,35558.0,36196.62
2016-05-23,35574.0,36257.8
2016-05-30,35658.0,36971.95
2016-06-06,35874.0,36787.32
2016-06-13,35618.0,36355.45
2016-06-20,36064.0,36205.0
2016-06-27,37134.0,36205.0
2016-07-04,37448.0,36205.0
2016-07-11,37792.0,36205.0
2016-07-18,38274.0,36300.3
2016-07-25,37916.0,36300.3
2016-08-01,37840.0,36300.3
2016-08-08,37466.0,36300.3
2016-08-15,37208.0,36460.43
2016-08-22,36752.0,36460.43
2016-08-29,36500.0,36460.43
2016-09-05,36748.0,36460.43
2016-09-12,36812.0,36474.36
2016-09-19,37488.0,36474.36
2016-09-26,37834.0,36474.36
2016-10-03,37820.0,36474.36
2016-10-10,37964.0,36555.45
2016-10-17,37454.0,36555.45
2016-10-24,38120.0,36555.45
2016-10-31,38918.0,36555.45
2016-11-07,42342.0,36685.18
2016-11-14,44880.0,36685.18
2016-11-21,46362.0,36685.18
2016-11-28,47092.0,36685.18
2016-12-05,47162.0,37292.05
2016-12-12,46768.0,37292.05
2016-12-19,45008.0,37292.05
2016-12-26,44638.0,37292.05
2017-01-02,45320.0,37893.62
2017-01-09,46388.0,37893.62
2017-01-16,46780.0,37893.62
2017-01-23,47208.33,37893.62
2017-01-30,46986.67,38421.7
2017-02-06,46880.0,38421.7
2017-02-13,48976.0,38421.7
2017-02-20,48254.0,38421.7
2017-02-27,47840.0,46598.84
2017-03-06,47010.0,46110.73
2017-03-13,47188.0,45953.54
2017-03-20,46900.0,45923.54
2017-03-27,46826.0,46612.31
2017-04-03,47356.0,46426.69
2017-04-10,46430.0,46442.66
2017-04-17,46024.0,46414.81
2017-04-24,46094.0,46909.52
2017-05-01,46159.0,46879.52
2017-05-08,44956.0,46670.33
2017-05-15,45146.0,46626.31
2017-05-22,45808.0,46212.0
2017-05-29,45478.0,46339.2
2017-06-05,45238.0,46283.54
2017-06-12,45760.0,46205.92
2017-06-19,45624.0,46807.24
2017-06-26,46712.0,38640.68
2017-07-03,46960.0,45745.35
2017-07-10,46900.0,45745.32
2017-07-17,47558.0,45380.54
2017-07-24,49028.0,44896.42
2017-07-31,50188.0,45006.01
