Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Maximum error,Minimum error,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node,nb_node_pruned
1,Inferencing,9702.15,23.03,9903.49,0.0,0.0,12072.65,6633.65,154,1,4,672.4593214988708,12,1.0
2,Inferencing,11312.98,27.19,11320.25,0.0,0.0,11735.86,10772.36,127,7,25,5909.425525903702,72,4.0
3,Inferencing,5564.32,13.11,6040.66,25.0,25.0,7029.23,1497.59,149,3,7,209.71972107887268,21,1.0
4,Inferencing,707.65,1.62,712.04,100.0,100.0,762.48,571.77,139,2,18,2054.240000486374,54,1.0
5,Inferencing,1164.0,2.55,1268.33,100.0,100.0,1704.44,398.56,140,4,15,1795.5357241630554,45,1.0
6,Inferencing,2274.85,5.27,2922.55,50.0,75.0,4900.21,92.7,150,2,7,508.8618698120117,22,0.0
7,Inferencing,1496.18,3.60,1870.07,75.0,75.0,3365.22,429.36,147,3,9,1312.929256439209,27,1.0
8,Inferencing,4969.49,12.67,5104.91,0.0,0.0,6326.7,3523.89,133,5,21,3360.696391582489,54,10.0
9,Inferencing,11679.67,29.60,11689.74,0.0,0.0,12199.87,10934.87,144,6,9,1444.454764842987,27,1.0
10,Inferencing,9955.0,25.16,10074.19,0.0,0.0,11394.28,7521.15,146,1,12,1160.0678353309631,36,1.0
11,Inferencing,4048.8,10.27,4641.77,25.0,25.0,7815.72,1759.07,138,5,16,860.6443104743958,48,1.0
12,Inferencing,6879.01,19.53,7419.78,0.0,25.0,10770.07,2936.12,138,2,19,1838.0006430149078,51,7.0
13,Inferencing,11885.67,33.11,11893.02,0.0,0.0,12528.92,11439.92,138,1,20,1337.7870483398438,60,1.0
14,Inferencing,8999.13,25.41,9719.75,0.0,0.0,12765.54,3462.03,134,2,23,2245.493837118149,69,1.0
15,Inferencing,2885.34,8.10,2909.75,0.0,75.0,3465.09,2424.49,154,5,0,43.754916191101074,1,0.0
16,Inferencing,926.29,2.50,1389.1,75.0,100.0,2690.04,143.21,129,5,25,2894.1597049236298,76,0.0
17,Inferencing,356.42,0.96,497.59,100.0,100.0,822.06,7.53,149,2,8,717.7339224815369,14,11.0
18,Inferencing,4329.48,11.77,4754.37,25.0,25.0,6444.88,1113.45,127,3,29,3994.103658914566,78,10.0
19,Inferencing,4846.27,13.57,5505.33,25.0,25.0,7342.93,735.69,142,5,12,1060.4551556110382,27,10.0
20,Inferencing,989.91,2.64,1136.43,100.0,100.0,1616.82,111.18,150,7,2,300.974791765213,6,1.0
21,Inferencing,814.65,2.14,975.37,100.0,100.0,1729.83,363.19,159,0,0,38.8906135559082,1,0.0
22,Inferencing,1589.07,4.32,1610.76,100.0,100.0,1933.56,1192.62,143,5,11,1244.699791431427,27,7.0
23,Inferencing,5618.93,14.97,5703.26,0.0,0.0,7001.55,4679.01,129,6,24,3350.210417985916,69,4.0
24,Inferencing,1191.16,3.10,1389.06,75.0,100.0,2332.84,569.39,139,7,13,1993.8853659629822,30,10.0
25,Inferencing,7799.01,17.13,8007.73,0.0,0.0,9722.01,4972.01,155,4,0,49.796515464782715,1,0.0
26,Inferencing,1538.14,3.39,1728.66,75.0,100.0,2607.69,451.6,153,4,2,85.40972232818604,6,1.0
27,Inferencing,822.14,1.76,1029.24,100.0,100.0,1751.96,106.76,141,17,1,53.1798369884491,4,0.0
28,Inferencing,3181.62,6.63,3281.84,0.0,50.0,4465.65,2412.44,113,9,37,5955.65864777565,99,13.0
29,Inferencing,5633.08,11.91,5693.23,0.0,0.0,6887.58,4568.55,127,5,27,4135.711753129959,81,1.0
30,Inferencing,2495.89,5.34,2535.18,25.0,75.0,3151.79,1992.36,125,5,29,6204.83439540863,87,1.0
31,Inferencing,556.06,1.22,580.24,100.0,100.0,811.28,402.3,143,1,15,3246.610171318054,45,1.0
32,Inferencing,663.48,1.46,692.9,100.0,100.0,817.79,320.41,148,8,3,1046.8505690097809,9,1.0
33,Inferencing,3785.33,8.17,4256.76,25.0,50.0,5713.24,1209.37,128,9,22,2710.8714933395386,57,4.0
34,Inferencing,2970.88,6.10,3296.51,50.0,75.0,5290.56,1674.64,126,7,26,4104.13587808609,77,2.0
35,Inferencing,9230.48,17.76,9291.26,0.0,0.0,10579.07,7773.34,88,3,68,17492.62055373192,201,4.0
36,Inferencing,2890.86,5.65,2950.67,0.0,50.0,3520.82,2286.52,148,7,4,919.6534950733185,9,4.0
37,Inferencing,1136.61,2.11,1464.33,75.0,100.0,2592.62,147.18,141,7,11,3196.8448712825775,32,2.0
38,Inferencing,1117.33,2.09,1267.71,100.0,100.0,1762.38,157.4,147,3,9,2691.353980779648,23,5.0
39,Inferencing,978.51,1.85,1028.72,100.0,100.0,1299.55,612.09,143,4,12,1705.243667602539,27,4.0
40,Inferencing,1926.39,3.54,2143.66,50.0,100.0,2841.46,562.2,149,6,4,563.6259005069733,9,4.0
41,Inferencing,1110.65,2.13,1309.45,75.0,100.0,2050.74,393.21,151,4,4,612.8003380298615,9,4.0
42,Inferencing,3262.81,6.38,4027.07,50.0,50.0,7028.56,1033.28,154,5,0,35.30782103538513,1,0.0
43,Inferencing,4893.69,9.71,4938.5,0.0,0.0,5433.45,3769.93,150,9,0,37.62828993797302,1,0.0
44,Inferencing,113752.43,221.60,126629.75,0.0,0.0,205955.28,57540.73,107,11,41,3422.6909925937653,96,28.0
45,Inferencing,4880.94,9.37,5060.02,0.0,0.0,6461.45,3251.45,137,11,11,2182.992907524109,30,4.0
46,Inferencing,5914.94,11.67,6085.26,0.0,0.0,8249.93,4379.97,148,8,3,147.94998860359192,7,3.0
47,Inferencing,811.27,1.65,931.08,100.0,100.0,1376.45,127.61,156,3,0,42.87997651100159,1,0.0
48,Inferencing,487.8,1.01,537.92,100.0,100.0,829.78,202.71,156,3,0,39.41701865196228,1,0.0
49,Inferencing,3896.54,7.90,4062.01,0.0,50.0,5361.48,2750.95,154,5,0,37.91045260429382,1,0.0
50,Inferencing,5117.32,10.21,5129.5,0.0,0.0,5727.76,4884.04,151,8,0,39.34265375137329,1,0.0
51,Inferencing,3670.03,7.42,3731.74,0.0,25.0,4766.07,2951.68,143,16,0,41.13666296005249,1,0.0
52,Inferencing,38549.9,77.81,52766.02,25.0,25.0,80934.02,266.68,49,11,99,17307.19966506958,273,25.0
53,Inferencing,3057.92,6.44,3061.01,0.0,25.0,3181.62,2827.01,140,15,4,2287.987575531006,10,3.0
54,Inferencing,707.84,1.46,947.68,100.0,100.0,1707.77,1.96,153,6,0,40.69002437591553,1,0.0
55,Inferencing,3213.3,6.43,3233.59,0.0,50.0,3795.16,2867.69,150,9,0,42.00220513343811,1,0.0
56,Inferencing,39652.16,80.26,44309.44,0.0,0.0,71287.7,20057.12,54,2,103,19790.969694375992,286,24.0
57,Inferencing,7461.17,15.42,7655.66,0.0,0.0,8563.96,4494.78,93,11,55,8745.533295869827,151,15.0
58,Inferencing,434.46,0.93,524.76,100.0,100.0,855.54,34.11,144,14,1,109.52528357505798,4,0.0
59,Inferencing,652.09,1.39,785.07,100.0,100.0,1139.64,46.09,150,7,2,1270.4212505817413,6,1.0
60,Inferencing,1436.42,3.06,1457.13,100.0,100.0,1839.53,1236.07,145,13,1,40.64663362503052,4,0.0
