Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Maximum error,Minimum error,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node,nb_node_pruned
1,Training,1651.74,3.18,2160.29,69.18,86.16,6017.65,1.43,154,1,4,672.4593214988708,12,1
2,Training,1896.29,3.69,2520.0,56.6,75.47,6060.85,0.0,127,7,25,5909.425525903702,72,4
3,Training,1101.09,2.13,1449.71,86.79,93.08,4602.71,0.0,149,3,7,209.71972107887268,21,1
4,Training,1396.94,2.73,1991.07,73.58,87.42,5983.0,0.01,139,2,18,2054.240000486374,54,1
5,Training,1313.01,2.59,1929.9,78.62,86.79,5497.41,0.0,140,4,15,1795.5357241630554,45,1
6,Training,1531.9,3.00,1903.92,66.67,91.19,5808.06,0.0,150,2,7,508.8618698120117,22,0
7,Training,1454.08,2.87,1853.55,69.81,88.05,5997.88,0.0,147,3,9,1312.929256439209,27,1
8,Training,1333.9,2.72,1931.21,77.99,89.94,5998.52,0.01,133,5,21,3360.696391582489,54,10
9,Training,1208.57,2.49,1680.0,80.5,92.45,5973.16,0.01,144,6,9,1444.454764842987,27,1
10,Training,1062.04,2.21,1465.07,88.05,94.97,6009.58,0.02,146,1,12,1160.0678353309631,36,1
11,Training,1986.12,4.05,2623.18,63.52,73.58,6004.16,0.01,138,5,16,860.6443104743958,48,1
12,Training,1065.46,2.26,1483.0,87.42,94.97,5784.3,0.35,138,2,19,1838.0006430149078,51,7
13,Training,1932.29,4.01,2573.94,62.26,72.96,5957.29,0.0,138,1,20,1337.7870483398438,60,1
14,Training,1023.13,2.22,1480.12,88.05,94.34,5610.65,0.0,134,2,23,2245.493837118149,69,1
15,Training,1465.23,3.27,1916.12,74.21,86.79,6020.43,8.83,154,5,0,43.754916191101074,1,0
16,Training,1296.29,2.80,1773.49,76.1,90.57,5820.59,0.0,129,5,25,2894.1597049236298,76,0
17,Training,1153.94,2.61,1515.14,88.05,94.34,5499.98,6.14,149,2,8,717.7339224815369,14,11
18,Training,1104.24,2.53,1593.93,82.39,92.45,5775.86,0.0,127,3,29,3994.103658914566,78,10
19,Training,1491.58,3.44,2000.54,73.58,83.02,5473.75,0.0,142,5,12,1060.4551556110382,27,10
20,Training,1432.74,3.25,1883.41,72.96,87.42,6079.73,2.07,150,7,2,300.974791765213,6,1
21,Training,1138.96,2.67,1505.89,83.02,93.08,4275.42,23.87,159,0,0,38.8906135559082,1,0
22,Training,1258.13,2.97,1661.61,82.39,91.19,4773.04,0.0,143,5,11,1244.699791431427,27,7
23,Training,1248.46,3.03,1926.55,82.39,86.16,6087.32,0.01,129,6,24,3350.210417985916,69,4
24,Training,1106.81,2.68,1522.91,86.16,93.08,5150.39,1.46,139,7,13,1993.8853659629822,30,10
25,Training,1567.32,3.59,1965.56,68.55,83.02,4610.04,32.79,155,4,0,49.796515464782715,1,0
26,Training,1691.28,3.93,2268.67,69.18,82.39,5925.84,7.45,153,4,2,85.40972232818604,6,1
27,Training,1406.42,3.32,1817.92,74.21,89.31,5826.35,16.26,141,17,1,53.1798369884491,4,0
