Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Maximum error,Minimum error,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node,nb_node_pruned
1,Training,1651.74,3.18,2160.29,69.18,86.16,6017.65,1.43,154,1,4,672.4593214988708,12,1
2,Training,1896.29,3.69,2520.0,56.6,75.47,6060.85,0.0,127,7,25,5909.425525903702,72,4
3,Training,1101.09,2.13,1449.71,86.79,93.08,4602.71,0.0,149,3,7,209.71972107887268,21,1
4,Training,1396.94,2.73,1991.07,73.58,87.42,5983.0,0.01,139,2,18,2054.240000486374,54,1
5,Training,1313.01,2.59,1929.9,78.62,86.79,5497.41,0.0,140,4,15,1795.5357241630554,45,1
6,Training,1531.9,3.00,1903.92,66.67,91.19,5808.06,0.0,150,2,7,508.8618698120117,22,0
7,Training,1454.08,2.87,1853.55,69.81,88.05,5997.88,0.0,147,3,9,1312.929256439209,27,1
8,Training,1333.9,2.72,1931.21,77.99,89.94,5998.52,0.01,133,5,21,3360.696391582489,54,10
9,Training,1208.57,2.49,1680.0,80.5,92.45,5973.16,0.01,144,6,9,1444.454764842987,27,1
10,Training,1062.04,2.21,1465.07,88.05,94.97,6009.58,0.02,146,1,12,1160.0678353309631,36,1
11,Training,1986.12,4.05,2623.18,63.52,73.58,6004.16,0.01,138,5,16,860.6443104743958,48,1
12,Training,1065.46,2.26,1483.0,87.42,94.97,5784.3,0.35,138,2,19,1838.0006430149078,51,7
13,Training,1932.29,4.01,2573.94,62.26,72.96,5957.29,0.0,138,1,20,1337.7870483398438,60,1
14,Training,1023.13,2.22,1480.12,88.05,94.34,5610.65,0.0,134,2,23,2245.493837118149,69,1
15,Training,1465.23,3.27,1916.12,74.21,86.79,6020.43,8.83,154,5,0,43.754916191101074,1,0
16,Training,1296.29,2.80,1773.49,76.1,90.57,5820.59,0.0,129,5,25,2894.1597049236298,76,0
17,Training,1153.94,2.61,1515.14,88.05,94.34,5499.98,6.14,149,2,8,717.7339224815369,14,11
18,Training,1104.24,2.53,1593.93,82.39,92.45,5775.86,0.0,127,3,29,3994.103658914566,78,10
19,Training,1491.58,3.44,2000.54,73.58,83.02,5473.75,0.0,142,5,12,1060.4551556110382,27,10
20,Training,1432.74,3.25,1883.41,72.96,87.42,6079.73,2.07,150,7,2,300.974791765213,6,1
21,Training,1138.96,2.67,1505.89,83.02,93.08,4275.42,23.87,159,0,0,38.8906135559082,1,0
22,Training,1258.13,2.97,1661.61,82.39,91.19,4773.04,0.0,143,5,11,1244.699791431427,27,7
23,Training,1248.46,3.03,1926.55,82.39,86.16,6087.32,0.01,129,6,24,3350.210417985916,69,4
24,Training,1106.81,2.68,1522.91,86.16,93.08,5150.39,1.46,139,7,13,1993.8853659629822,30,10
25,Training,1567.32,3.59,1965.56,68.55,83.02,4610.04,32.79,155,4,0,49.796515464782715,1,0
26,Training,1691.28,3.93,2268.67,69.18,82.39,5925.84,7.45,153,4,2,85.40972232818604,6,1
27,Training,1406.42,3.32,1817.92,74.21,89.31,5826.35,16.26,141,17,1,53.1798369884491,4,0
28,Training,1657.75,3.99,2300.11,66.67,78.62,5985.36,0.43,113,9,37,5955.65864777565,99,13
29,Training,1449.68,3.50,1908.86,73.58,88.68,5807.47,0.19,127,5,27,4135.711753129959,81,1
30,Training,1979.75,4.65,2454.77,59.75,74.84,5964.84,2.1,125,5,29,6204.83439540863,87,1
31,Training,1274.03,3.11,1681.99,76.73,93.08,4910.65,14.14,143,1,15,3246.610171318054,45,1
32,Training,1209.37,2.86,1539.8,82.39,93.71,5168.52,1.21,148,8,3,1046.8505690097809,9,1
33,Training,1671.59,4.00,2174.93,64.15,83.02,6131.15,0.38,128,9,22,2710.8714933395386,57,4
34,Training,2040.53,4.88,2620.74,53.46,71.7,6026.43,0.2,126,7,26,4104.13587808609,77,2
35,Training,1462.95,3.43,2301.51,67.92,76.73,6055.09,0.03,88,3,68,17492.62055373192,201,4
36,Training,1269.34,3.00,1658.57,79.25,93.71,5271.76,16.18,148,7,4,919.6534950733185,9,4
37,Training,1772.95,4.15,2183.58,59.12,82.39,5346.5,9.51,141,7,11,3196.8448712825775,32,2
38,Training,1810.51,4.27,2226.57,61.64,81.76,5908.5,2.89,147,3,9,2691.353980779648,23,5
39,Training,1136.02,2.66,1479.82,85.53,94.97,4835.18,2.14,143,4,12,1705.243667602539,27,4
40,Training,1339.7,3.14,1614.99,79.25,94.34,4538.66,29.63,149,6,4,563.6259005069733,9,4
41,Training,1285.66,3.00,1578.05,80.5,94.97,5399.77,1.77,151,4,4,612.8003380298615,9,4
42,Training,1282.32,2.90,1598.85,77.36,92.45,4065.35,64.41,154,5,0,35.30782103538513,1,0
43,Training,1489.54,3.35,1929.11,69.81,89.31,5986.36,15.71,150,9,0,37.62828993797302,1,0
44,Training,1148.46,2.69,1674.54,81.76,91.82,6103.92,0.86,107,11,41,3422.6909925937653,96,28
45,Training,1301.71,2.90,1721.02,77.99,90.57,5892.13,1.49,137,11,11,2182.992907524109,30,4
46,Training,1298.83,2.87,1774.95,78.62,89.94,5436.1,3.31,148,8,3,147.94998860359192,7,3
47,Training,1211.74,2.67,1639.37,80.5,92.45,5807.59,4.43,156,3,0,42.87997651100159,1,0
48,Training,1205.26,2.67,1570.89,81.76,93.08,5733.57,7.72,156,3,0,39.41701865196228,1,0
49,Training,1337.64,3.02,1674.86,79.25,92.45,5421.52,12.95,154,5,0,37.91045260429382,1,0
50,Training,1450.59,3.18,1863.75,72.33,89.31,5611.02,34.04,151,8,0,39.34265375137329,1,0
51,Training,1319.93,2.90,1700.56,81.76,93.71,5723.81,14.53,143,16,0,41.13666296005249,1,0
52,Training,988.65,2.48,1872.21,79.87,86.16,6120.02,0.09,49,11,99,17307.19966506958,273,25
53,Training,1342.97,3.01,1753.03,78.62,91.82,5080.79,2.82,140,15,4,2287.987575531006,10,3
54,Training,1193.1,2.57,1545.7,83.65,94.34,5444.28,4.1,153,6,0,40.69002437591553,1,0
55,Training,1197.63,2.57,1555.26,84.91,94.34,5636.88,13.19,150,9,0,42.00220513343811,1,0
56,Training,910.38,2.14,1657.96,79.25,88.68,5614.8,0.03,54,2,103,19790.969694375992,286,24
57,Training,1602.23,3.51,2227.95,69.81,84.28,5973.18,0.25,93,11,55,8745.533295869827,151,15
58,Training,1499.52,3.20,1922.18,74.84,88.68,5877.73,9.17,144,14,1,109.52528357505798,4,0
59,Training,1177.52,2.49,1508.97,83.65,96.23,4538.95,1.45,150,7,2,1270.4212505817413,6,1
60,Training,1222.35,2.58,1541.11,84.91,94.97,4499.57,0.88,145,13,1,40.64663362503052,4,0
61,Training,1533.48,3.25,1891.86,68.55,89.31,4813.67,12.19,154,5,0,40.47428035736084,1,0
