Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Training,1394.46,2.69,1740.99,74.21,91.82,159,0,0,42.84935760498047,1
2,Training,1584.49,3.13,2093.87,71.7,88.05,159,0,0,1.2268342971801758,1
3,Training,1777.7,3.59,2414.88,67.92,85.53,159,0,0,1.1077880859375,1
4,Training,1937.6,3.96,2612.1,64.15,80.5,159,0,0,1.0545730590820312,1
5,Training,2077.96,4.27,2737.54,59.12,76.73,159,0,0,1.004150390625,1
6,Training,2151.77,4.43,2780.31,54.72,74.84,159,0,0,1.224513292312622,1
7,Training,2267.35,4.69,2882.86,51.57,71.7,159,0,0,1.4172158241271973,1
8,Training,2431.58,5.07,3049.23,46.54,67.3,159,0,0,1.3854100704193115,1
9,Training,2668.45,5.64,3342.1,43.4,62.26,159,0,0,1.3791732788085938,1
10,Training,2889.73,6.17,3580.33,42.14,56.6,159,0,0,1.2721421718597412,1
11,Training,3078.08,6.63,3778.64,38.99,51.57,159,0,0,1.2779250144958496,1
12,Training,1932.92,4.12,2392.46,58.49,77.99,159,0,0,1.0114476680755615,1
13,Training,1329.92,2.84,1757.41,79.87,91.19,159,0,0,1.0046002864837646,1
14,Training,1312.06,2.83,1731.33,79.87,91.82,159,0,0,1.1138942241668701,1
15,Training,1285.13,2.79,1703.24,77.99,92.45,159,0,0,1.2650995254516602,1
16,Training,1207.89,2.65,1638.86,79.87,93.08,159,0,0,1.4174258708953857,1
17,Training,1182.17,2.63,1587.3,81.13,94.97,159,0,0,1.4089365005493164,1
18,Training,1147.31,2.59,1546.6,83.65,94.97,159,0,0,1.3981173038482666,1
19,Training,1081.02,2.47,1497.13,87.42,94.97,159,0,0,1.3870854377746582,1
20,Training,1084.12,2.49,1487.6,88.05,94.97,159,0,0,1.1949191093444824,1
21,Training,1021.92,2.37,1354.14,89.31,96.23,159,0,0,1.128554344177246,1
22,Training,997.61,2.34,1293.79,89.94,97.48,159,0,0,1.1651835441589355,1
23,Training,981.66,2.31,1267.29,91.19,97.48,159,0,0,1.398078203201294,1
24,Training,983.17,2.33,1263.29,90.57,97.48,159,0,0,1.400731086730957,1
25,Training,999.59,2.39,1276.71,89.94,97.48,159,0,0,1.393779993057251,1
26,Training,1195.22,2.86,1829.06,86.16,94.97,158,1,0,1.4568846225738525,1
27,Training,1445.73,3.46,2243.65,76.73,91.82,159,0,0,1.4022216796875,1
28,Training,1733.91,4.17,2591.57,71.7,85.53,159,0,0,1.37007474899292,1
