Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Inferencing,7425.5,17.68,7686.71,0.0,0.0,159,0,0,42.84935760498047,1
2,Inferencing,8034.22,19.31,8044.45,0.0,0.0,159,0,0,1.2268342971801758,1
3,Inferencing,7371.8,17.29,7411.46,0.0,0.0,159,0,0,1.1077880859375,1
4,Inferencing,5371.51,12.32,5371.8,0.0,0.0,159,0,0,1.0545730590820312,1
5,Inferencing,4212.58,9.29,4330.44,0.0,0.0,159,0,0,1.004150390625,1
6,Inferencing,5033.27,11.59,5092.04,0.0,0.0,159,0,0,1.224513292312622,1
7,Inferencing,6504.38,15.55,6539.52,0.0,0.0,159,0,0,1.4172158241271973,1
8,Inferencing,8859.13,22.57,8874.35,0.0,0.0,159,0,0,1.3854100704193115,1
9,Inferencing,8348.59,21.17,8366.11,0.0,0.0,159,0,0,1.3791732788085938,1
10,Inferencing,7987.32,20.26,8035.88,0.0,0.0,159,0,0,1.2721421718597412,1
11,Inferencing,8010.57,20.44,8027.23,0.0,0.0,159,0,0,1.2779250144958496,1
12,Inferencing,7336.0,20.75,7422.94,0.0,0.0,159,0,0,1.0114476680755615,1
13,Inferencing,2423.52,6.76,2459.35,25.0,75.0,159,0,0,1.0046002864837646,1
14,Inferencing,1635.71,4.65,1705.74,75.0,100.0,159,0,0,1.1138942241668701,1
15,Inferencing,486.61,1.37,509.83,100.0,100.0,159,0,0,1.2650995254516602,1
16,Inferencing,1503.36,4.02,1607.4,75.0,100.0,159,0,0,1.4174258708953857,1
17,Inferencing,902.03,2.44,964.95,100.0,100.0,159,0,0,1.4089365005493164,1
18,Inferencing,801.5,2.18,873.1,100.0,100.0,159,0,0,1.3981173038482666,1
19,Inferencing,932.88,2.61,965.77,100.0,100.0,159,0,0,1.3870854377746582,1
20,Inferencing,975.62,2.60,1113.04,100.0,100.0,159,0,0,1.1949191093444824,1
21,Inferencing,1559.15,4.11,1585.34,100.0,100.0,159,0,0,1.128554344177246,1
22,Inferencing,341.23,0.92,426.39,100.0,100.0,159,0,0,1.1651835441589355,1
23,Inferencing,1012.73,2.69,1094.24,100.0,100.0,159,0,0,1.398078203201294,1
24,Inferencing,1566.8,4.09,1652.57,75.0,100.0,159,0,0,1.400731086730957,1
25,Inferencing,8484.0,18.65,8676.26,0.0,0.0,159,0,0,1.393779993057251,1
26,Inferencing,8602.16,18.70,8670.68,0.0,0.0,158,1,0,1.4568846225738525,1
27,Inferencing,8531.07,18.36,8559.77,0.0,0.0,159,0,0,1.4022216796875,1
28,Inferencing,9366.91,19.58,9408.11,0.0,0.0,159,0,0,1.37007474899292,1
29,Inferencing,1134.57,2.40,1144.79,100.0,100.0,158,0,1,29.693845987319946,4
30,Inferencing,403.03,0.86,512.7,100.0,100.0,159,0,0,0.8081841468811035,4
31,Inferencing,1142.36,2.52,1216.01,100.0,100.0,159,0,0,0.7702066898345947,4
