Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Training,1394.46,2.69,1740.99,74.21,91.82,159,0,0,42.84935760498047,1
2,Training,1584.49,3.13,2093.87,71.7,88.05,159,0,0,1.2268342971801758,1
3,Training,1777.7,3.59,2414.88,67.92,85.53,159,0,0,1.1077880859375,1
4,Training,1937.6,3.96,2612.1,64.15,80.5,159,0,0,1.0545730590820312,1
5,Training,2077.96,4.27,2737.54,59.12,76.73,159,0,0,1.004150390625,1
6,Training,2151.77,4.43,2780.31,54.72,74.84,159,0,0,1.224513292312622,1
7,Training,2267.35,4.69,2882.86,51.57,71.7,159,0,0,1.4172158241271973,1
8,Training,2431.58,5.07,3049.23,46.54,67.3,159,0,0,1.3854100704193115,1
9,Training,2668.45,5.64,3342.1,43.4,62.26,159,0,0,1.3791732788085938,1
10,Training,2889.73,6.17,3580.33,42.14,56.6,159,0,0,1.2721421718597412,1
11,Training,3078.08,6.63,3778.64,38.99,51.57,159,0,0,1.2779250144958496,1
12,Training,1932.92,4.12,2392.46,58.49,77.99,159,0,0,1.0114476680755615,1
13,Training,1329.92,2.84,1757.41,79.87,91.19,159,0,0,1.0046002864837646,1
14,Training,1312.06,2.83,1731.33,79.87,91.82,159,0,0,1.1138942241668701,1
15,Training,1285.13,2.79,1703.24,77.99,92.45,159,0,0,1.2650995254516602,1
16,Training,1207.89,2.65,1638.86,79.87,93.08,159,0,0,1.4174258708953857,1
17,Training,1182.17,2.63,1587.3,81.13,94.97,159,0,0,1.4089365005493164,1
18,Training,1147.31,2.59,1546.6,83.65,94.97,159,0,0,1.3981173038482666,1
19,Training,1081.02,2.47,1497.13,87.42,94.97,159,0,0,1.3870854377746582,1
20,Training,1084.12,2.49,1487.6,88.05,94.97,159,0,0,1.1949191093444824,1
21,Training,1021.92,2.37,1354.14,89.31,96.23,159,0,0,1.128554344177246,1
22,Training,997.61,2.34,1293.79,89.94,97.48,159,0,0,1.1651835441589355,1
23,Training,981.66,2.31,1267.29,91.19,97.48,159,0,0,1.398078203201294,1
24,Training,983.17,2.33,1263.29,90.57,97.48,159,0,0,1.400731086730957,1
25,Training,999.59,2.39,1276.71,89.94,97.48,159,0,0,1.393779993057251,1
26,Training,1195.22,2.86,1829.06,86.16,94.97,158,1,0,1.4568846225738525,1
27,Training,1445.73,3.46,2243.65,76.73,91.82,159,0,0,1.4022216796875,1
28,Training,1733.91,4.17,2591.57,71.7,85.53,159,0,0,1.37007474899292,1
29,Training,1609.0,3.95,2328.01,72.96,83.65,158,0,1,29.693845987319946,4
30,Training,1571.72,3.86,2296.11,71.7,85.53,159,0,0,0.8081841468811035,4
31,Training,1513.24,3.74,2253.0,73.58,86.16,159,0,0,0.7702066898345947,4
32,Training,1515.83,3.74,2249.33,73.58,86.16,159,0,0,0.502373456954956,4
33,Training,1514.19,3.74,2247.38,73.58,86.16,159,0,0,0.3676941394805908,4
34,Training,1562.47,3.85,2334.34,72.96,85.53,159,0,0,0.42266201972961426,4
35,Training,1647.12,4.02,2414.44,71.07,83.65,159,0,0,0.6172816753387451,4
36,Training,1751.66,4.23,2494.56,67.92,83.65,159,0,0,1.2647197246551514,4
37,Training,1740.63,4.21,2424.31,70.44,84.91,159,0,0,1.2545068264007568,4
38,Training,1732.06,4.17,2438.4,71.07,84.91,159,0,0,1.056776762008667,4
39,Training,1705.71,4.11,2406.47,72.96,86.16,159,0,0,0.4859168529510498,4
40,Training,1727.2,4.14,2420.29,71.7,86.16,159,0,0,0.37279248237609863,4
41,Training,1733.17,4.14,2422.79,72.33,85.53,159,0,0,0.3406252861022949,4
42,Training,1728.64,4.11,2421.25,71.07,86.16,159,0,0,0.4902942180633545,4
43,Training,1706.39,4.05,2412.53,72.96,84.28,159,0,0,0.5214188098907471,4
44,Training,1734.34,4.11,2426.69,71.7,84.28,159,0,0,0.3284575939178467,4
45,Training,1743.24,4.12,2430.05,71.7,84.28,159,0,0,0.31857752799987793,4
46,Training,1783.99,4.18,2478.89,70.44,84.28,159,0,0,0.5825784206390381,4
47,Training,1797.93,4.21,2471.82,69.18,84.28,159,0,0,0.9820034503936768,4
48,Training,1813.65,4.23,2471.84,67.3,84.91,159,0,0,0.528900146484375,4
49,Training,1785.25,4.16,2451.23,67.92,84.91,159,0,0,0.5713658332824707,4
50,Training,1793.29,4.17,2455.98,67.92,85.53,159,0,0,0.5683541297912598,4
51,Training,1759.15,4.09,2436.32,70.44,85.53,159,0,0,0.6916391849517822,4
52,Training,1772.65,4.10,2445.66,67.3,85.53,159,0,0,0.30037856101989746,4
53,Training,1723.14,3.93,2397.51,69.81,88.05,159,0,0,0.29117488861083984,4
54,Training,1715.48,3.87,2414.11,70.44,85.53,159,0,0,0.5017538070678711,4
55,Training,1647.51,3.66,2353.21,72.33,88.68,159,0,0,0.30957484245300293,4
56,Training,1624.73,3.56,2322.37,73.58,89.94,159,0,0,0.29024457931518555,4
57,Training,1622.95,3.54,2318.17,75.47,89.94,159,0,0,0.22141146659851074,4
58,Training,1594.69,3.45,2306.2,75.47,89.94,159,0,0,0.3048057556152344,4
59,Training,1575.93,3.37,2293.44,75.47,90.57,159,0,0,0.3823215961456299,4
60,Training,1544.72,3.26,2264.97,75.47,91.19,159,0,0,0.3587315082550049,4
61,Training,1536.26,3.23,2257.13,77.99,91.19,159,0,0,0.3710007667541504,4
62,Training,1535.05,3.21,2251.61,78.62,91.82,159,0,0,0.4411344528198242,4
63,Training,1540.46,3.20,2262.62,76.1,91.19,159,0,0,0.6261625289916992,4
64,Training,1546.22,3.20,2257.99,78.62,90.57,159,0,0,1.1122264862060547,4
65,Training,1498.32,3.09,2220.44,79.25,93.08,159,0,0,0.8963668346405029,4
66,Training,1329.58,2.72,1864.52,80.5,95.6,159,0,0,0.5261342525482178,4
67,Training,1242.61,2.53,1676.32,83.02,96.23,159,0,0,0.6371479034423828,4
68,Training,1271.82,2.59,1699.98,80.5,96.23,159,0,0,0.3482859134674072,4
69,Training,1275.48,2.62,1667.62,78.62,95.6,159,0,0,0.6163849830627441,4
70,Training,1241.07,2.56,1677.6,81.13,93.08,159,0,0,1.2141098976135254,4
71,Training,1305.42,2.71,1775.14,79.87,91.19,159,0,0,0.40192532539367676,4
72,Training,1412.02,2.95,2008.33,79.25,88.68,159,0,0,0.404616117477417,4
73,Training,1500.79,3.14,2221.25,79.25,88.68,158,0,1,17.581403255462646,6
74,Training,1463.45,3.05,2134.11,79.87,89.31,159,0,0,35.99676251411438,6
75,Training,1440.76,3.01,2124.83,80.5,89.31,159,0,0,34.752973794937134,6
76,Training,1894.76,3.96,2507.96,63.52,86.16,159,0,0,29.414313316345215,4
77,Training,1584.4,3.31,2225.85,78.62,86.79,159,0,0,1.1493351459503174,4
78,Training,1401.75,2.95,2096.58,81.13,89.31,159,0,0,1.4370410442352295,4
