Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Maximum error,Minimum error,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node,nb_node_pruned
1,Inferencing,7415.05,17.65,7676.61,0.0,0.0,9785.55,4346.55,159,0,0,34.279340744018555,1,0.0
2,Inferencing,8043.2,19.34,8053.42,0.0,0.0,8466.08,7502.58,159,0,0,1.2567059993743896,1,0.0
3,Inferencing,7401.78,17.36,7441.37,0.0,0.0,8171.92,6362.75,159,0,0,1.0588555335998535,1,0.0
4,Inferencing,5348.95,12.26,5349.24,0.0,0.0,5391.7,5252.7,159,0,0,0.9638264179229736,1,0.0
5,Inferencing,4220.75,9.31,4337.94,0.0,0.0,5841.23,3363.62,159,0,0,0.9179849624633789,1,0.0
6,Inferencing,5033.37,11.59,5092.14,0.0,0.0,6151.37,3987.37,159,0,0,0.9108867645263672,1,0.0
7,Inferencing,6504.3,15.55,6539.45,0.0,0.0,7277.05,5667.05,159,0,0,0.9122507572174072,1,0.0
8,Inferencing,8858.67,22.57,8873.89,0.0,0.0,9563.17,8098.17,159,0,0,0.9178593158721924,1,0.0
9,Inferencing,8351.32,21.18,8368.83,0.0,0.0,8778.57,7430.57,159,0,0,1.1809396743774414,1,0.0
10,Inferencing,7985.55,20.25,8034.11,0.0,0.0,9032.17,6594.67,159,0,0,1.2537312507629395,1,0.0
11,Inferencing,8010.25,20.44,8026.92,0.0,0.0,8674.0,7250.0,159,0,0,1.2034330368041992,1,0.0
12,Inferencing,6810.54,19.27,6904.09,0.0,0.0,7936.79,4921.79,159,0,0,1.0255405902862549,1,0.0
13,Inferencing,2362.56,6.59,2399.3,25.0,75.0,3005.81,1916.81,159,0,0,0.9287738800048828,1,0.0
14,Inferencing,1645.32,4.67,1714.95,75.0,100.0,2033.57,824.57,159,0,0,0.9357705116271973,1,0.0
15,Inferencing,483.09,1.36,506.47,100.0,100.0,666.96,299.96,159,0,0,0.9377849102020264,1,0.0
16,Inferencing,1520.63,4.07,1623.56,75.0,100.0,2122.63,607.63,159,0,0,0.9398417472839355,1,0.0
17,Inferencing,906.04,2.45,968.71,100.0,100.0,1271.29,551.29,159,0,0,1.2901127338409424,1,0.0
18,Inferencing,801.5,2.18,873.12,100.0,100.0,1327.38,384.62,159,0,0,1.2184817790985107,1,0.0
19,Inferencing,912.13,2.56,944.99,100.0,100.0,1313.95,683.8,159,0,0,1.1021931171417236,1,0.0
