Window_index,Stage,MAE,MAPE,RMSE,Accuracy(2000),Accuracy(3000),Maximum error,Minimum error,Step4,Step6.1,Step6.2,Time,Adopted_hidden_node
1,Training,1395.24,2.69,1741.47,73.58,91.19,4855.55,0.19,159,0,0,33.331547021865845,1
2,Training,1583.94,3.13,2094.34,71.7,88.68,9425.08,12.11,159,0,0,1.0099470615386963,1
3,Training,1779.77,3.59,2415.05,66.67,85.53,9020.43,0.43,159,0,0,1.028517723083496,1
4,Training,1939.19,3.96,2612.03,64.15,80.5,8726.7,3.36,159,0,0,1.0334258079528809,1
5,Training,2078.98,4.27,2737.54,59.12,76.73,8501.32,17.68,159,0,0,1.0108287334442139,1
6,Training,2151.99,4.43,2780.51,54.72,74.84,8367.37,13.67,159,0,0,0.9997899532318115,1
7,Training,2267.77,4.69,2883.11,51.57,71.7,8166.05,6.06,159,0,0,0.9941394329071045,1
8,Training,2432.92,5.07,3050.0,46.54,67.3,7913.17,14.03,159,0,0,1.0142383575439453,1
9,Training,2667.89,5.64,3342.02,43.4,62.26,9239.57,26.21,159,0,0,1.0104966163635254,1
10,Training,2889.85,6.17,3580.35,42.14,56.6,8938.67,8.64,159,0,0,1.0152206420898438,1
11,Training,3078.81,6.64,3778.88,38.99,51.57,8749.5,71.98,159,0,0,1.0666720867156982,1
12,Training,1825.02,3.86,2269.82,60.38,76.73,7347.27,14.21,159,0,0,1.0660433769226074,1
13,Training,1329.37,2.84,1756.74,79.25,91.19,7453.17,3.84,159,0,0,1.0461692810058594,1
14,Training,1300.34,2.81,1730.72,79.25,91.82,7390.21,7.46,159,0,0,1.064558982849121,1
15,Training,1284.46,2.79,1703.0,78.62,93.08,7223.09,0.4,159,0,0,0.9971489906311035,1
16,Training,1216.33,2.66,1638.46,80.5,93.08,7057.23,7.59,159,0,0,0.9937853813171387,1
17,Training,1181.24,2.63,1586.82,81.76,94.97,6878.53,7.43,159,0,0,1.1056551933288574,1
18,Training,1145.87,2.58,1545.4,83.65,95.6,6787.23,3.44,159,0,0,1.079953908920288,1
19,Training,1080.4,2.47,1496.48,87.42,94.97,7037.39,2.7,159,0,0,1.0144591331481934,1
20,Training,1082.82,2.48,1486.1,87.42,94.97,7058.25,5.0,159,0,0,1.0316667556762695,1
21,Training,1025.88,2.37,1353.44,89.31,96.86,4711.74,21.91,159,0,0,1.0590076446533203,1
22,Training,997.17,2.34,1293.48,89.94,97.48,4729.26,19.59,159,0,0,1.0472183227539062,1
23,Training,981.31,2.31,1267.53,91.19,97.48,4622.77,25.64,159,0,0,1.015427827835083,1
24,Training,980.52,2.33,1263.53,90.57,97.48,4583.03,3.38,159,0,0,1.0604827404022217,1
