Date,Actual,Forecasted_price
2015-01-05,45679.0,52312.65
2015-01-12,42767.0,52312.65
2015-01-19,41756.0,52312.65
2015-01-26,40240.0,52312.65
2015-02-02,41199.0,52934.86
2015-02-09,41263.0,52934.86
2015-02-16,41863.0,52934.86
2015-02-23,42162.5,52934.86
2015-03-02,42585.0,49304.23
2015-03-09,42293.0,49304.23
2015-03-16,42275.0,49304.23
2015-03-23,43572.0,45069.59
2015-03-30,43575.0,44331.62
2015-04-06,43593.0,44355.48
2015-04-13,43589.0,44328.74
2015-04-20,43714.0,44285.77
2015-04-27,44420.0,44021.44
2015-05-04,45950.0,44245.56
2015-05-11,45979.0,44938.93
2015-05-18,45579.0,44066.09
2015-05-25,44620.0,44527.3
2015-06-01,43740.0,44867.84
2015-06-08,43480.0,48380.21
2015-06-15,42456.0,45434.67
2015-06-22,42386.0,42815.36
2015-06-29,42739.0,43632.45
2015-07-06,41353.0,44718.22
2015-07-13,41129.0,42425.7
2015-07-20,40055.0,44196.4
2015-07-27,39308.0,42831.89
2015-08-03,38590.0,44475.95
2015-08-10,39225.0,45551.7
2015-08-17,39051.0,50630.07
2015-08-24,39134.0,51333.87
2015-08-31,39329.0,51333.87
2015-09-07,40399.0,51333.87
2015-09-14,40934.0,50658.28
2015-09-21,39478.0,50658.28
2015-09-28,38496.5,46017.65
2015-10-05,39264.0,50658.28
2015-10-12,39996.0,47811.72
2015-10-19,39339.0,41098.07
2015-10-26,39036.0,42134.73
2015-11-02,38572.0,42093.67
2015-11-09,37450.0,40386.12
2015-11-16,35234.0,46004.07
2015-11-23,34435.0,41687.24
2015-11-30,35126.0,41683.61
2015-12-07,35274.0,47802.92
2015-12-14,35832.0,47802.92
2015-12-21,36200.0,47802.92
2015-12-28,36363.0,47802.92
2016-01-04,36178.0,48004.57
2016-01-11,35046.0,47811.54
2016-01-18,34969.0,42911.38
2016-01-25,35236.0,38698.03
2016-02-01,35518.0,38415.23
2016-02-08,35742.5,38166.99
2016-02-15,35446.0,38200.56
2016-02-22,35813.0,39278.09
2016-02-29,36251.0,35613.3
2016-03-07,37161.0,39851.04
2016-03-14,37478.0,37712.23
2016-03-21,37766.0,37622.79
2016-03-28,37260.0,36437.94
2016-04-04,36565.0,36572.53
2016-04-11,36540.0,36576.43
2016-04-18,37214.0,36654.34
2016-04-25,37524.0,43968.88
2016-05-02,37052.0,42018.41
2016-05-09,35812.0,40605.19
2016-05-16,35558.0,36671.45
2016-05-23,35574.0,36309.69
2016-05-30,35658.0,40116.02
2016-06-06,35874.0,42722.43
2016-06-13,35618.0,42960.93
2016-06-20,36064.0,36175.18
2016-06-27,37134.0,36175.18
2016-07-04,37448.0,36175.18
2016-07-11,37792.0,36175.18
2016-07-18,38274.0,36544.17
2016-07-25,37916.0,37302.4
2016-08-01,37840.0,37476.81
2016-08-08,37466.0,38017.97
2016-08-15,37208.0,38400.62
2016-08-22,36752.0,38351.96
2016-08-29,36500.0,38433.56
2016-09-05,36748.0,38378.12
2016-09-12,36812.0,41491.01
2016-09-19,37488.0,42205.07
2016-09-26,37834.0,44835.55
2016-10-03,37820.0,43898.08
2016-10-10,37964.0,37362.4
2016-10-17,37454.0,36884.61
2016-10-24,38120.0,36859.2
2016-10-31,38918.0,36585.16
2016-11-07,42342.0,37369.99
2016-11-14,44880.0,37369.99
2016-11-21,46362.0,37369.99
2016-11-28,47092.0,37369.99
2016-12-05,47162.0,45902.45
2016-12-12,46768.0,46316.4
2016-12-19,45008.0,46841.72
2016-12-26,44638.0,47245.69
2017-01-02,45320.0,45775.73
2017-01-09,46388.0,46281.24
2017-01-16,46780.0,45805.89
2017-01-23,47208.33,45456.37
2017-01-30,46986.67,44574.23
2017-02-06,46880.0,44285.96
2017-02-13,48976.0,44510.35
2017-02-20,48254.0,44999.63
2017-02-27,47840.0,40952.42
2017-03-06,47010.0,41461.96
2017-03-13,47188.0,41659.86
2017-03-20,46900.0,42331.45
2017-03-27,46826.0,44187.85
2017-04-03,47356.0,44204.21
2017-04-10,46430.0,44228.75
2017-04-17,46024.0,44031.64
2017-04-24,46094.0,45691.7
2017-05-01,46159.0,45743.12
2017-05-08,44956.0,45767.28
2017-05-15,45146.0,45740.79
2017-05-22,45808.0,46625.79
2017-05-29,45478.0,46247.92
2017-06-05,45238.0,45983.8
2017-06-12,45760.0,46080.41
2017-06-19,45624.0,51337.24
2017-06-26,46712.0,52338.4
2017-07-03,46960.0,49552.29
2017-07-10,46900.0,48109.37
2017-07-17,47558.0,52848.56
2017-07-24,49028.0,52025.04
2017-07-31,50188.0,51862.64
2017-08-07,50360.0,52281.27
2017-08-14,50354.0,42580.66
2017-08-21,51438.0,42680.39
2017-08-28,52592.0,42780.11
2017-09-04,53060.0,42480.93
2017-09-11,51014.0,47572.43
2017-09-18,50476.0,48189.48
2017-09-25,50758.0,48443.48
2017-10-02,51990.0,48469.18
2017-10-09,53014.0,55606.62
2017-10-16,54944.0,54796.82
2017-10-23,55334.0,54113.05
2017-10-30,54186.0,53600.3
2017-11-06,53982.0,53824.6
2017-11-13,53226.0,54346.51
2017-11-20,53540.0,55302.38
2017-11-27,53264.0,54693.02
2017-12-04,52184.0,53483.55
2017-12-11,52126.0,53414.21
2017-12-18,53596.0,54310.2
2017-12-25,54754.0,54141.91
2018-01-01,54753.0,51911.54
2018-01-08,54506.0,51747.64
2018-01-15,53906.0,52362.46
2018-01-22,53272.0,52709.8
2018-01-29,53004.0,53397.21
2018-02-05,52236.0,53735.93
2018-02-12,51961.0,54011.74
2018-02-19,52440.0,52938.71
2018-02-26,52462.0,53495.28
2018-03-05,51700.0,53206.34
2018-03-12,51562.0,55045.06
2018-03-19,50624.0,57652.56
2018-03-26,49362.0,54684.58
2018-04-02,50484.0,55532.82
2018-04-09,50818.0,56251.45
2018-04-16,51174.0,54943.93
2018-04-23,51752.0,257707.28
2018-04-30,50988.0,152791.05
2018-05-07,50994.0,-38716.67
2018-05-14,50996.0,-6544.73
2018-05-21,51340.0,55253.91
2018-05-28,51242.0,57138.97
2018-06-04,52704.0,59165.45
2018-06-11,53422.0,56673.45
2018-06-18,52008.0,57369.19
2018-06-25,51346.0,57014.67
2018-07-02,50340.0,58589.93
2018-07-09,48930.0,53309.97
2018-07-16,48664.0,50040.45
2018-07-23,49570.0,50584.02
2018-07-30,49614.0,49486.39
2018-08-06,49510.0,48783.0
2018-08-13,48824.0,48418.46
2018-08-20,48562.0,48764.71
2018-08-27,48792.0,48278.81
2018-09-03,48081.0,48910.78
2018-09-10,48228.0,53589.48
2018-09-17,49424.0,54098.47
2018-09-24,50431.0,53181.95
2018-10-01,50300.0,53099.27
2018-10-08,50520.0,44792.24
2018-10-15,50406.0,45500.42
2018-10-22,50132.0,45247.96
2018-10-29,49364.0,44412.11
2018-11-05,49670.0,53289.41
2018-11-12,49166.0,53932.07
2018-11-19,49732.0,52683.68
2018-11-26,49520.0,52862.98
2018-12-03,49770.0,130704.02
2018-12-10,49344.0,-18157.1
2018-12-17,48678.0,43180.19
2018-12-24,48254.0,47987.32
2018-12-31,47740.0,50567.01
2019-01-07,47486.0,50623.3
2019-01-14,47398.0,50483.74
2019-01-21,47456.0,50637.62
2019-01-28,47682.0,48395.88
2019-02-04,47970.0,47968.04
2019-02-11,48098.0,47690.22
2019-02-18,49184.0,47476.23
2019-02-25,49950.0,46718.23
2019-03-04,50018.0,46222.84
2019-03-11,49788.0,46920.31
2019-03-18,50146.0,47187.41
2019-03-25,49444.0,8502.13
2019-04-01,49367.0,-21920.7
2019-04-08,49346.0,75667.97
2019-04-15,49540.0,69597.12
2019-04-22,49214.0,40756.16
2019-04-29,48688.0,44193.22
2019-05-06,48046.0,56609.96
2019-05-13,47754.0,56082.11
2019-05-20,47414.0,46558.46
2019-05-27,46968.0,47002.11
2019-06-03,46328.0,46817.98
2019-06-10,46570.0,46211.8
2019-06-17,46680.0,46244.8
2019-06-24,47100.0,46112.55
2019-07-01,46722.0,45582.36
2019-07-08,46261.0,46214.91
2019-07-15,47072.0,45232.47
2019-07-22,47250.0,45824.1
2019-07-29,46900.0,45663.93
2019-08-05,46334.0,45089.8
2019-08-12,46566.0,46047.07
2019-08-19,46506.0,46393.77
2019-08-26,46528.0,46655.15
2019-09-02,46868.0,46183.56
2019-09-09,47486.0,46914.87
2019-09-16,47586.0,46910.19
