Actual,Predict,Absolute Error
55616.0,56869.355,1253.3555
56040.0,56933.074,893.0742
56197.0,56159.723,37.277344
57137.0,56339.39,797.6094
57357.00000000001,56445.57,911.4297
56990.0,56779.477,210.52344
56580.00000000001,56578.312,1.6875
57222.5,56754.777,467.72266
57657.0,56637.07,1019.9297
57562.99999999999,56274.117,1288.8828
57922.0,55963.934,1958.0664
58317.0,56062.97,2254.0312
58928.0,56464.426,2463.5742
58822.5,56561.57,2260.9297
57930.0,56621.082,1308.918
56986.0,56661.316,324.6836
56433.00000000001,56795.938,362.9375
56756.99999999999,56528.66,228.33984
55769.0,56354.617,585.6172
55765.0,56665.812,900.8125
54695.99999999999,56744.934,2048.9336
55283.99999999999,56956.902,1672.9023
52404.00000000001,57348.832,4944.832
51010.0,57512.402,6502.4023
51245.99999999999,57758.285,6512.285
53484.0,58323.254,4839.254
53468.0,58242.016,4774.0156
53853.0,57451.062,3598.0625
53488.0,57106.91,3618.9102
53801.99999999999,57644.434,3842.4336
52861.99999999999,57912.22,5050.2188
51362.0,58030.004,6668.004
46208.0,57859.14,11651.141
50298.0,58224.79,7926.789
50119.0,57934.258,7815.258
50608.0,57454.168,6846.168
51165.0,56441.594,5276.5938
50355.0,56660.2,6305.199
51312.00000000001,57095.57,5783.5703
52734.0,58022.055,5288.0547
53212.0,57921.527,4709.5273
53180.00000000001,57666.33,4486.328
52605.99999999999,57748.145,5142.1445
52391.99999999999,57705.33,5313.328
52087.0,57341.96,5254.961
52450.00000000001,56890.703,4440.703
52716.67,56526.742,3810.0703
52504.33,56005.887,3501.5586
52433.99999999999,56177.434,3743.4336
52179.0,56278.2,4099.199
51886.0,56233.477,4347.4766
51723.0,56088.766,4365.7656
51278.0,55663.66,4385.66
50655.0,55142.625,4487.625
50964.0,55142.625,4178.625
50804.0,55142.625,4338.625
51262.99999999999,55142.625,3879.625
51259.0,55142.625,3883.625
51781.0,55142.625,3361.625
52219.00000000001,55142.625,2923.625
52069.0,55142.625,3073.625
52032.0,55142.625,3110.625
51592.0,55142.625,3550.625
50813.83,55142.625,4328.797
50911.67,55142.625,4230.953
50682.0,55142.625,4460.625
50672.0,55142.625,4470.625
49468.0,55142.625,5674.625
48908.0,55142.625,6234.625
45170.0,55142.625,9972.625
45252.0,55142.625,9890.625
46099.0,55142.625,9043.625
47081.0,55142.625,8061.625
47490.0,55142.625,7652.625
47877.0,55142.625,7265.625
48513.0,55142.625,6629.625
50021.0,55142.625,5121.625
49373.0,55142.625,5769.625
50362.0,55142.625,4780.625
50189.0,55142.625,4953.625
50231.0,55142.625,4911.625
50027.5,55142.625,5115.125
48828.0,55142.625,6314.625
49260.0,55142.625,5882.625
50533.0,55142.625,4609.625
51711.99999999999,55148.633,3436.6328
51584.0,55142.625,3558.625
50850.0,55142.625,4292.625
50304.0,55142.625,4838.625
50604.0,55142.625,4538.625
50484.0,55142.625,4658.625
49931.0,55142.625,5211.625
50176.0,55142.625,4966.625
50875.0,55142.625,4267.625
50462.0,55142.625,4680.625
49938.0,55142.625,5204.625
49515.0,55142.625,5627.625
48706.0,55142.625,6436.625
48759.0,55142.625,6383.625
48625.5,55142.625,6517.125
48424.0,55142.625,6718.625
47875.0,55142.625,7267.625
48236.0,55142.625,6906.625
48135.0,55142.625,7007.625
48068.0,55142.625,7074.625
48041.0,55142.625,7101.625
47788.0,55142.625,7354.625
46458.0,55142.625,8684.625
46874.0,55142.625,8268.625
46535.0,55142.625,8607.625
46483.0,55142.625,8659.625
46295.0,55142.625,8847.625
45679.0,55142.625,9463.625
42767.0,55142.625,12375.625
41756.0,55142.625,13386.625
40240.0,55142.625,14902.625
41199.0,55142.625,13943.625
41263.0,55142.625,13879.625
41863.0,55142.625,13279.625
42162.5,55142.625,12980.125
42585.0,55142.625,12557.625
42293.0,55142.625,12849.625
42275.0,55142.625,12867.625
43572.0,55142.625,11570.625
43575.0,55142.625,11567.625
43593.0,55142.625,11549.625
43589.0,55142.625,11553.625
43714.0,55142.625,11428.625
44420.0,55451.594,11031.594
45950.0,55189.227,9239.227
45979.0,55142.625,9163.625
45579.0,55142.625,9563.625
44620.0,55142.625,10522.625
43740.0,55142.625,11402.625
43480.0,55142.625,11662.625
42456.0,55142.625,12686.625
42386.0,55142.625,12756.625
42739.0,55142.625,12403.625
41353.0,55142.625,13789.625
41129.0,55142.625,14013.625
40055.0,55142.625,15087.625
39308.0,55142.625,15834.625
38590.0,55142.625,16552.625
39225.0,55142.625,15917.625
39051.0,55142.625,16091.625
39134.0,55142.625,16008.625
39329.0,55142.625,15813.625
40399.0,55142.625,14743.625
40934.0,55142.625,14208.625
39478.0,55142.625,15664.625
38496.5,55142.625,16646.125
39264.0,55142.625,15878.625
39996.0,55142.625,15146.625
39339.0,55142.625,15803.625
39036.0,55142.625,16106.625
38572.0,55142.625,16570.625
37450.0,55142.625,17692.625
35234.0,55142.625,19908.625
34435.0,55142.625,20707.625
35126.0,55142.625,20016.625
35274.0,55142.625,19868.625
35832.0,55142.625,19310.625
36200.0,55142.625,18942.625
36363.0,55142.625,18779.625
36178.0,55142.625,18964.625
35046.0,55142.625,20096.625
34969.0,55142.625,20173.625
35236.0,55142.625,19906.625
