Actual,Predict,Absolute Error
50018.0,47174.35,2843.6484
49788.0,47146.453,2641.5469
50146.0,47591.22,2554.7812
49444.0,48481.348,962.65234
49367.0,48708.574,658.4258
49346.0,49032.316,313.6836
49540.0,49289.438,250.5625
49214.0,50103.746,889.7461
48688.0,50134.926,1446.9258
48046.0,50341.54,2295.539
47754.0,50447.0,2693.0
47414.0,50735.438,3321.4375
46968.0,50632.918,3664.918
46328.0,49984.49,3656.4883
46570.0,49722.973,3152.9727
46680.0,50005.793,3325.793
47100.0,49756.938,2656.9375
46722.0,49743.387,3021.3867
46261.0,49607.496,3346.496
47072.0,49661.246,2589.246
47250.0,49845.332,2595.332
46900.0,50006.69,3106.6914
46334.0,50105.09,3771.0898
46566.0,51201.43,4635.4297
46506.0,51693.4,5187.3984
46528.0,51839.656,5311.6562
46868.0,51541.41,4673.41
47486.0,51460.62,3974.621
47586.0,51519.895,3933.8945
47238.0,51588.164,4350.164
47246.67,52016.64,4769.9688
47013.33,52594.613,5581.285
46950.0,52948.848,5998.8477
47260.0,52768.297,5508.297
47326.0,52936.883,5610.883
47272.0,52699.84,5427.84
47121.0,52852.25,5731.25
47094.0,53333.465,6239.465
47324.0,53611.973,6287.9727
47318.0,53333.996,6015.996
48676.0,53593.227,4917.2266
48988.0,53618.656,4630.6562
49188.0,54150.742,4962.742
49133.0,54153.438,5020.4375
48790.0,54954.645,6164.6445
48966.0,55294.01,6328.0117
48292.0,55372.457,7080.457
46380.0,55361.45,8981.449
45406.0,55552.457,10146.457
45492.0,55699.07,10207.07
46002.0,55821.77,9819.77
45338.0,55430.28,10092.281
45010.0,54679.594,9669.594
43594.0,54765.85,11171.852
40596.0,54856.004,14260.004
38284.0,54242.965,15958.965
39392.0,54346.625,14954.625
40843.0,54121.824,13278.824
42036.0,52385.69,10349.691
42024.0,49204.652,7180.6523
42911.0,49003.23,6092.2305
43131.0,49997.695,6866.6953
43538.0,52109.723,8571.723
43992.0,51604.098,7612.0977
44104.0,52314.223,8210.223
44970.0,52900.56,7930.5586
46702.0,53676.055,6974.0547
47128.0,53382.875,6254.875
48230.0,52707.957,4477.957
49264.0,52677.02,3413.0195
50040.0,53548.383,3508.3828
52242.0,53141.344,899.34375
51994.0,53812.59,1818.5898
51914.0,54230.723,2316.7227
51450.0,54771.316,3321.3164
50384.0,56145.844,5761.8438
51682.00000000001,56296.316,4614.3164
51526.00000000001,56130.42,4604.422
52026.00000000001,55733.605,3707.6055
52258.0,54124.94,1866.9414
52139.99999999999,54324.473,2184.4727
51604.0,53462.812,1858.8125
51247.71,52666.258,1418.5469
51504.29000000001,52720.984,1216.6953
51626.0,52507.574,881.5742
52038.0,51434.24,603.7617
51726.0,51177.68,548.3203
51620.0,51323.44,296.5586
52124.0,52122.754,1.2460938
53216.0,51640.098,1575.9023
54890.0,50719.76,4170.2383
57448.0,50739.656,6708.3438
57418.0,50587.5,6830.5
58154.00000000001,51119.316,7034.6836
58320.0,50911.566,7408.4336
