Date,Actual,Predict
2019-03-11,49788.0,47121.95
2019-03-18,50146.0,47565.996
2019-03-25,49444.0,48455.777
2019-04-01,49367.0,48681.465
2019-04-08,49346.0,49005.02
2019-04-15,49540.0,49263.254
2019-04-22,49214.0,50077.953
2019-04-29,48688.0,50109.727
2019-05-06,48046.0,50316.8
2019-05-13,47754.0,50422.06
2019-05-20,47414.0,50710.773
2019-05-27,46968.0,50608.98
2019-06-03,46328.0,49961.508
2019-06-10,46570.0,49699.996
2019-06-17,46680.0,49983.55
2019-06-24,47100.0,49734.65
2019-07-01,46722.0,49720.973
2019-07-08,46261.0,49584.895
2019-07-15,47072.0,49637.95
2019-07-22,47250.0,49821.66
2019-07-29,46900.0,49982.383
2019-08-05,46334.0,50080.21
2019-08-12,46566.0,51178.027
2019-08-19,46506.0,51668.348
2019-08-26,46528.0,51813.723
2019-09-02,46868.0,51514.215
2019-09-09,47486.0,51433.414
2019-09-16,47586.0,51491.977
2019-09-23,47238.0,51555.816
2019-09-30,47246.67,51983.074
2019-10-07,47013.33,52560.414
2019-10-14,46950.0,52913.195
2019-10-21,47260.0,52732.344
2019-10-28,47326.0,52902.89
2019-11-04,47272.0,52666.664
2019-11-11,47121.0,52818.203
2019-11-18,47094.0,53300.043
2019-11-25,47324.0,53579.324
2019-12-02,47318.0,53303.395
2019-12-09,48676.0,53562.39
2019-12-16,48988.0,53588.36
2019-12-23,49188.0,54120.86
2019-12-30,49133.0,54121.137
2020-01-06,48790.0,54921.984
2020-01-13,48966.0,55260.05
2020-01-20,48292.0,55337.117
2020-01-27,46380.0,55325.957
2020-02-03,45406.0,55518.99
2020-02-10,45492.0,55666.87
2020-02-17,46002.0,55790.707
2020-02-24,45338.0,55398.793
2020-03-02,45010.0,54648.773
2020-03-09,43594.0,54735.79
2020-03-16,40596.0,54824.99
2020-03-23,38284.0,54211.84
2020-03-30,39392.0,54314.582
2020-04-06,40843.0,54089.83
2020-04-13,42036.0,52350.992
2020-04-20,42024.0,49173.727
2020-04-27,42911.0,48969.242
2020-05-04,43131.0,49959.51
2020-05-11,43538.0,52070.938
2020-05-18,43992.0,51567.418
2020-05-25,44104.0,52279.47
2020-06-01,44970.0,52862.95
2020-06-08,46702.0,53636.367
2020-06-15,47128.0,53344.254
2020-06-22,48230.0,52669.22
2020-06-29,49264.0,52638.14
2020-07-06,50040.0,53510.863
2020-07-13,52242.0,53103.434
2020-07-20,51994.0,53773.797
2020-07-27,51914.0,54190.36
2020-08-03,51450.0,54727.77
2020-08-10,50384.0,56099.688
2020-08-17,51682.00000000001,56247.094
2020-08-24,51526.00000000001,56080.914
2020-08-31,52026.00000000001,55684.984
2020-09-07,52258.0,54079.473
2020-09-14,52139.99999999999,54280.977
2020-09-21,51604.0,53417.984
2020-09-28,51247.71,52621.895
2020-10-05,51504.29000000001,52676.918
2020-10-12,51626.0,52464.223
2020-10-19,52038.0,51389.734
2020-10-26,51726.0,51131.035
2020-11-02,51620.0,51278.395
2020-11-09,52124.0,52074.582
2020-11-16,53216.0,51589.375
2020-11-23,54890.0,50668.22
2020-11-30,57448.0,50687.383
2020-12-07,57418.0,50535.35
2020-12-14,58154.00000000001,51066.5
2020-12-21,58320.0,50856.895
2020-12-28,58336.0,51573.562
